college_id,college_name,division,gender_program,website,soccer_program_url
3757,Abilene Christian,D1,womens,,
3758,Air Force,D1,womens,,
3759,Akron,D1,womens,,
3760,Alabama,D1,womens,,
3761,Alabama A&M,D1,womens,,
3762,Alabama State,D1,womens,,
3763,Albany,D1,womens,,
3764,Alcorn State,D1,womens,,
3765,American,D1,womens,,
3714,American University,D1,mens,,
3766,Appalachian State,D1,womens,,
3767,Arizona,D1,womens,,
3768,Arizona State,D1,womens,,
3769,Arkansas,D1,womens,,
3770,Arkansas State,D1,womens,,
3771,Arkansas–Pine Bluff,D1,womens,,
3772,Army,D1,womens,,
3773,Auburn,D1,womens,,
3774,Austin Peay,D1,womens,,
3789,BYU,D1,womens,,
3775,Ball State,D1,womens,,
3776,Baylor,D1,womens,,
3777,Bellarmine,D1,womens,,
3589,Bellarmine University,D1,mens,,
3778,Belmont,D1,womens,,
3677,Belmont University,D1,mens,,
3779,Binghamton,D1,womens,,
3545,Binghamton University,D1,mens,,
3780,Boise State,D1,womens,,
3716,Boston University,D1,mens,,
3782,Boston University,D1,womens,,
3783,Bowling Green,D1,womens,,
3678,Bowling Green State University,D1,mens,,
3679,Bradley University,D1,mens,,
3784,Brown,D1,womens,,
3656,Brown University,D1,mens,,
3785,Bryant,D1,womens,,
3546,Bryant University,D1,mens,,
3786,Bucknell,D1,womens,,
3717,Bucknell University,D1,mens,,
3787,Buffalo,D1,womens,,
3788,Butler,D1,womens,,
3790,Cal Poly,D1,womens,,
3791,Cal State Bakersfield,D1,womens,,
3792,Cal State Fullerton,D1,womens,,
3793,Cal State Northridge,D1,womens,,
3794,California,D1,womens,,
3795,California Baptist,D1,womens,,
3707,California Baptist University,D1,mens,,
3708,"California Polytechnic State University, San Luis Obispo",D1,mens,,
3628,"California State University, Bakersfield",D1,mens,,
3629,"California State University, Fullerton",D1,mens,,
3630,"California State University, Northridge",D1,mens,,
3631,"California State University, Sacramento",D1,mens,,
3796,Campbell,D1,womens,,
3635,Campbell University,D1,mens,,
3797,Canisius,D1,womens,,
3664,Canisius University,D1,mens,,
3798,Central Arkansas,D1,womens,,
3799,Central Connecticut,D1,womens,,
3690,Central Connecticut State University,D1,mens,,
3800,Central Michigan,D1,womens,,
3801,Charleston,D1,womens,,
3802,Charleston Southern,D1,womens,,
3803,Charlotte,D1,womens,,
3804,Chattanooga,D1,womens,,
3805,Chicago State,D1,womens,,
3691,Chicago State University,D1,mens,,
3806,Cincinnati,D1,womens,,
3807,Clemson,D1,womens,,
3808,Cleveland State,D1,womens,,
3645,Cleveland State University,D1,mens,,
3809,Coastal Carolina,D1,womens,,
3737,Coastal Carolina University,D1,mens,,
3810,Colgate,D1,womens,,
3718,Colgate University,D1,mens,,
3636,College of Charleston,D1,mens,,
3644,College of William & Mary,D1,mens,,
3719,College of the Holy Cross,D1,mens,,
3811,Colorado,D1,womens,,
3812,Colorado College,D1,womens,,
3813,Colorado State,D1,womens,,
3814,Columbia,D1,womens,,
3657,Columbia University,D1,mens,,
3815,Cornell,D1,womens,,
3658,Cornell University,D1,mens,,
3816,Creighton,D1,womens,,
3817,Dartmouth,D1,womens,,
3659,Dartmouth College,D1,mens,,
