college_id,college_name,division,gender_program,website,soccer_program_url
1499,Adams State University,D2,mens,,
1706,Adams State University,D2,womens,,
386,Adelphi University,D2,mens,https://adelphis.com,
387,Adelphi University,D2,womens,https://adelphis.com,
1709,Albany State University,D2,womens,,
310,Alderson Broaddus University,D2,mens,https://abbattlers.com,
311,Alderson Broaddus University,D2,womens,https://abbattlers.com,
1710,Allen University,D2,womens,,
1503,Anderson University,D2,mens,,
1712,Anderson University,D2,womens,,
412,Anderson University (SC),D2,mens,https://andersonathletics.com,
413,Anderson University (SC),D2,womens,https://andersonathletics.com,
188,Angelo State University,D2,mens,https://angelosports.com,
1504,Ashland University,D2,mens,,
1714,Ashland University,D2,womens,,
1506,Auburn University at Montgomery,D2,mens,,
1716,Auburn University at Montgomery,D2,womens,,
192,Augustana University,D2,mens,https://goaugie.com,
332,Barry University,D2,mens,https://barryathletics.com,
333,Barry University,D2,womens,https://barryathletics.com,
294,Bellarmine University,D2,mens,https://bellarmineknights.com,
295,Bellarmine University,D2,womens,https://bellarmineknights.com,
1509,Belmont Abbey College,D2,mens,,
1720,Belmont Abbey College,D2,womens,,
194,Bemidji State University,D2,mens,https://bsubeavers.com,
1511,Biola University,D2,mens,,
1723,Biola University,D2,womens,,
1724,Black Hills State University,D2,womens,,
1725,Bluefield State University,D2,womens,,
388,Bridgeport,D2,mens,https://ubknights.com,
389,Bridgeport,D2,womens,https://ubknights.com,
1514,"California State Polytechnic University, Humboldt",D2,mens,,
1729,"California State Polytechnic University, Humboldt",D2,womens,,
1515,"California State Polytechnic University, Pomona",D2,mens,,
1730,"California State Polytechnic University, Pomona",D2,womens,,
1737,California State University San Marcos,D2,womens,,
1516,"California State University, Chico",D2,mens,,
1731,"California State University, Chico",D2,womens,,
1517,"California State University, Dominguez Hills",D2,mens,,
1732,"California State University, Dominguez Hills",D2,womens,,
1518,"California State University, East Bay",D2,mens,,
1733,"California State University, East Bay",D2,womens,,
1519,"California State University, Los Angeles",D2,mens,,
1734,"California State University, Los Angeles",D2,womens,,
1520,"California State University, Monterey Bay",D2,mens,,
1735,"California State University, Monterey Bay",D2,womens,,
1521,"California State University, San Bernardino",D2,mens,,
1736,"California State University, San Bernardino",D2,womens,,
1522,"California State University, San Marcos",D2,mens,,
1523,"California State University, Stanislaus",D2,mens,,
1738,"California State University, Stanislaus",D2,womens,,
398,California University of Pennsylvania,D2,mens,https://calpuathletics.com,
399,California University of Pennsylvania,D2,womens,https://calpuathletics.com,
416,Carson-Newman University,D2,mens,https://cneagles.com,
417,Carson-Newman University,D2,womens,https://cneagles.com,
1525,Carson–Newman University,D2,mens,,
1739,Carson–Newman University,D2,womens,,
1744,Central Washington University,D2,womens,,
1528,Chaminade University of Honolulu,D2,mens,,
1745,Chaminade University of Honolulu,D2,womens,,
312,Charleston (WV),D2,mens,https://ucathletics.com,
313,Charleston (WV),D2,womens,https://ucathletics.com,
360,Chestnut Hill College,D2,mens,https://chcgriffins.com,
361,Chestnut Hill College,D2,womens,https://chcgriffins.com,
1531,Chowan University,D2,mens,,
1748,Chowan University,D2,womens,,
430,Christian Brothers University,D2,mens,https://cbuathletics.com,
431,Christian Brothers University,D2,womens,https://cbuathletics.com,
400,Clarion University,D2,mens,https://clariongoleneagles.com,
401,Clarion University,D2,womens,https://clariongoleneagles.com,
1533,Clayton State University,D2,mens,,
1750,Clayton State University,D2,womens,,
420,Coker University,D2,mens,https://cokerpride.com,
421,Coker University,D2,womens,https://cokerpride.com,
1669,College of Staten Island,D2,mens,,
1925,College of Staten Island,D2,womens,,
1535,Colorado Christian University,D2,mens,,
1752,Colorado Christian University,D2,womens,,
1538,Colorado State University–Pueblo,D2,mens,,
1755,Colorado State University–Pueblo,D2,womens,,
206,Columbus State University,D2,mens,https://csucougars.com,
1540,Commonwealth University-Bloomsburg,D2,mens,,
1758,Commonwealth University-Bloomsburg,D2,womens,,
1541,Commonwealth University-Lock Haven,D2,mens,,
1759,Commonwealth University-Lock Haven,D2,womens,,
1760,Commonwealth University-Mansfield,D2,womens,,
314,Concord University,D2,mens,https://concordmountainlions.com,
315,Concord University,D2,womens,https://concordmountainlions.com,
1543,Concordia University–Irvine,D2,mens,,
1762,Concordia University–Irvine,D2,womens,,
1763,Concordia University–St. Paul,D2,womens,,
1544,Converse University,D2,mens,,
1764,Converse University,D2,womens,,
1554,D'Youville University,D2,mens,,
1773,D'Youville University,D2,womens,,
1545,Daemen University,D2,mens,,
1765,Daemen University,D2,womens,,
1546,Dallas Baptist University,D2,mens,,
1766,Dallas Baptist University,D2,womens,,
1547,Davenport University,D2,mens,,
1767,Davenport University,D2,womens,,
316,Davis & Elkins College,D2,mens,https://deathletics.com,
317,Davis & Elkins College,D2,womens,https://deathletics.com,
432,Delta State University,D2,mens,https://deltastatestatesman.com,
433,Delta State University,D2,womens,https://deltastatestatesman.com,
390,Dominican College,D2,mens,https://dominicanchargers.com,
391,Dominican College,D2,womens,https://dominicanchargers.com,
1552,Dominican University New York,D2,mens,,
1771,Dominican University New York,D2,womens,,
362,Dominican University of California,D2,mens,https://dominicancougars.com,
363,Dominican University of California,D2,womens,https://dominicancougars.com,
1774,East Central University,D2,womens,,
1555,East Stroudsburg University of Pennsylvania,D2,mens,,
1775,East Stroudsburg University of Pennsylvania,D2,womens,,
346,Eastern New Mexico University,D2,mens,https://enmuathletics.com,
347,Eastern New Mexico University,D2,womens,https://enmuathletics.com,
334,Eckerd College,D2,mens,https://eckerdathletics.com,
335,Eckerd College,D2,womens,https://eckerdathletics.com,
1778,Edward Waters University,D2,womens,,
1558,Embry–Riddle Aeronautical University,D2,mens,,
1779,Embry–Riddle Aeronautical University,D2,womens,,
1559,Emmanuel University,D2,mens,,
1780,Emmanuel University,D2,womens,,
1560,Emory and Henry University,D2,mens,,
1781,Emory and Henry University,D2,womens,,
1782,Emporia State University,D2,womens,,
1561,Erskine College,D2,mens,,
1783,Erskine College,D2,womens,,
318,Fairmont State University,D2,mens,https://fairmontstateathletics.com,
319,Fairmont State University,D2,womens,https://fairmontstateathletics.com,
1563,Felician University,D2,mens,,
1785,Felician University,D2,womens,,
1786,Ferris State University,D2,womens,,
1562,Ferrum College,D2,mens,,
1787,Ferrum College,D2,womens,,
374,Findlay,D2,mens,https://gooilers.com,
375,Findlay,D2,womens,https://gooilers.com,
336,Florida Institute of Technology,D2,mens,https://fitpanthers.com,
337,Florida Institute of Technology,D2,womens,https://fitpanthers.com,
1568,Fort Hays State University,D2,mens,,
1792,Fort Hays State University,D2,womens,,
1569,Fort Lewis College,D2,mens,,
1793,Fort Lewis College,D2,womens,,
1570,Francis Marion University,D2,mens,,
1794,Francis Marion University,D2,womens,,
1572,Fresno Pacific University,D2,mens,,
1796,Fresno Pacific University,D2,womens,,
1573,Frostburg State University,D2,mens,,
1797,Frostburg State University,D2,womens,,
1574,Gannon University,D2,mens,,
1798,Gannon University,D2,womens,,
1799,Georgia College & State University,D2,womens,,
1575,Georgia Southwestern State University,D2,mens,,
1800,Georgia Southwestern State University,D2,womens,,
320,Glenville State University,D2,mens,https://gsupioneerathletics.com,
321,Glenville State University,D2,womens,https://gsupioneerathletics.com,
1577,Goldey–Beacom College,D2,mens,,
1802,Goldey–Beacom College,D2,womens,,
218,Grand Valley State University,D2,mens,https://gvsulakers.com,
1579,Hawai'i Pacific University,D2,mens,,
1805,Hawai'i Pacific University,D2,womens,,
376,Hillsdale College,D2,mens,https://hillsdalechargers.com,
377,Hillsdale College,D2,womens,https://hillsdalechargers.com,
366,Holy Family University,D2,mens,https://hfuathletics.com,
367,Holy Family University,D2,womens,https://hfuathletics.com,
222,Indiana University of Pennsylvania,D2,mens,https://iupathletics.com,
1585,Jessup University,D2,mens,,
1813,Jessup University,D2,womens,,
1586,Kentucky Wesleyan College,D2,mens,,
1814,Kentucky Wesleyan College,D2,womens,,
422,King University,D2,mens,https://kingathletics.com,
423,King University,D2,womens,https://kingathletics.com,
402,Kutztown University,D2,mens,https://kutztownathletics.com,
403,Kutztown University,D2,womens,https://kutztownathletics.com,
1816,Kutztown University of Pennsylvania,D2,womens,,
1704,Lackawanna College,D2,mens,,
1969,Lackawanna College,D2,womens,,
1590,Lee University,D2,mens,,
1819,Lee University,D2,womens,,
1591,Lees–McRae College,D2,mens,,
1820,Lees–McRae College,D2,womens,,
1592,Lenoir–Rhyne University,D2,mens,,
1821,Lenoir–Rhyne University,D2,womens,,
