club_id,club_name_official,club_name_scraped,address_line1,city,state,zip,event_id,league_name,api_url
4319,Coastal Rush,Coastal Rush,418 West Garden st,Penscola,Florida,32502,3900,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3900/4319/12
893,St Croix Soccer Club,St Croix Soccer Club,5525 Memorial Ave N Suite 6,Oak Park Heights,Minnesota,55082,3903,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3903/893/12
67,Minnesota Thunder Academy,Minnesota Thunder,6600 Nicollet Ave S,Richfield,Minnesota,55423,3903,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3903/67/12
5144,LA Krewe Rush,LA Krewe Rush,200 Sonny Roy Ln,Lafayette,Louisiana,70507,3900,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3900/5144/12
2106,Chicago Magic,Chicago Magic,"3080 Skokie Valley, Ste 1",Highland Park,Illinois,60035,3903,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3903/2106/12
5145,Mandeville Soccer Club,MSC Lakers,790 Florida Street,Mandeville,Louisiana,70448,3900,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3900/5145/12
4012,Highland FC,Highland FC,PO Box 895,Asheville,North Carolina,28802-0895,3891,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3891/4012/12
2257,Indiana Elite FC,Indiana Elite FC,10971 Four Seasons Pl Suite 207,Crown Point,Indiana,46307,3903,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3903/2257/12
1797,FC WISCONSIN BOYS,FC WISCONSIN,PO Box 428,Germantown,Wisconsin,53022,3903,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3903/1797/12
2181,Wilmington Hammerheads Youth FC,Wilmington Hammerheads,404 N 3rd St Ste 204,Wilmington,North Carolina,28405,3891,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3891/2181/12
71,NC Fusion,NC Fusion,428 Twins Way,Bermuda Run,North Carolina,27006,3891,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3891/71/12
2167,Chicago Inter Soccer,Chicago Inter Soccer,15781 Ridge Pointe Street,New Lenox,Illinois,60451,3903,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3903/2167/12
2017,Rockford Raptors FC,Rockford Raptors,8800 E Riverside Blvd.,Loves Park,Illinois,61111,3903,ECNL Regional League Boys,https://api.athleteone.com/api/Script/get-club-info/3903/2017/12
