club_name,canonical_name,league_name,city,state,source_url
Arizona Arsenal Soccer Club,Arizona Arsenal,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Arizona Soccer Club,Arizona,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Arizona Storm F.C.,Arizona Storm .,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
AYSO United (AZ),Ayso,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
AZFC,Azfc,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Barca Residency Academy USA,Barca Residency Academy Usa,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Brazas Futebol Club,Brazas Futebol,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Canyon Del Oro Soccer Club,Canyon Del Oro,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
CCV STARS,Ccv Stars,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Club Tigres,Tigres,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Dynamos SC,Dynamos,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
East Valley/NSFC,East Valley/Nsfc,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Excel Soccer Academy,Excel Academy,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
FBSL,Fbsl,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
FC Batavia,Batavia,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
FC Deportivo Arizona,Deportivo Arizona,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
FC Elite Arizona,Elite Arizona,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
FC Sonora,Sonora,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
FC Tucson Youth Soccer,Tucson,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Flagstaff SC,Flagstaff,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
Havasu Lions FC,Havasu Lions,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs
