club_name,canonical_name,league_name,city,state,source_url,source_type,website
Arizona Arsenal Soccer Club,Arizona Arsenal,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
AZFC,Azfc,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Brazas Futebol Club,Brazas Futebol,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
CCV STARS,Ccv Stars,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Dynamos SC,Dynamos,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
East Valley/NSFC,East Valley/Nsfc,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Excel Soccer Academy,Excel Academy,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
FBSL,Fbsl,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
FC Arizona,Arizona,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
FC Elite Arizona,Elite Arizona,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Madison FC,Madison,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
North Scottsdale Soccer Club,North Scottsdale,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
NOS Santos SC,Nos Santos,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
OJB FC,Ojb,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Paris Saint-Germain Academy Phoenix,Paris Saint-Germain Academy Phoenix,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Phoenix Premier FC,Phoenix Premier,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Phoenix Rising Desert Foothills,Phoenix Rising Desert Foothills,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Phoenix Rising FC,Phoenix Rising,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Phoenix Rush,Phoenix Rush,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Phoenix Valley,Phoenix Valley,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Playmaker Futbol Academy,Playmaker Futbol Academy,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
RSL-AZ North,Rsl-Az North,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
RSL-AZ South,Rsl-Az South,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
RSL-AZ West Valley,Rsl-Az West Valley,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
RSL-AZ Yuma,Rsl-Az Yuma,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
SC del Sol,Del Sol,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Sun Warriors AZFC,Sun Warriors Azfc,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Synergy FC AZ,Synergy Az,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Thunderbird FC,Thunderbird,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
Vail SC,Vail,Arizona Youth Soccer Association,,Arizona,https://system.gotsport.com/org_event/events/45756/clubs,,
