club_name,canonical_name,league_name,city,state,source_url
PRO,Pro,CCL,,,https://www.clubchampionsleague.com/
Super League,Super League,CCL,,,https://www.clubchampionsleague.com/
Tournaments,Tournaments,CCL,,,https://www.clubchampionsleague.com/
International,International,CCL,,,https://www.clubchampionsleague.com/
More,More,CCL,,,https://www.clubchampionsleague.com/
About & History,About & History,CCL,,,https://www.clubchampionsleague.com/
Sponsors & Partners,Sponsors & Partners,CCL,,,https://www.clubchampionsleague.com/
Store,Store,CCL,,,https://www.clubchampionsleague.com/
Donations,Donations,CCL,,,https://www.clubchampionsleague.com/
Document Collector,Document Collector,CCL,,,https://www.clubchampionsleague.com/
1 of 4,1 Of 4,CCL,,,https://www.clubchampionsleague.com/
2 of 4,2 Of 4,CCL,,,https://www.clubchampionsleague.com/
3 of 4,3 Of 4,CCL,,,https://www.clubchampionsleague.com/
4 of 4,4 Of 4,CCL,,,https://www.clubchampionsleague.com/
"Club Champions League, Inc. (501c3)Professional Soccer Management:  Leagues, Tournaments, International TravelLearn More","Champions League, Inc. Professional Management: Leagues, Tournaments, International Travellearn More",CCL,,,https://www.clubchampionsleague.com/
Learn More,Learn More,CCL,,,https://www.clubchampionsleague.com/
"Variety of Competition, College Coaches, Live Stream & More!Learn More","Variety Of Competition, College Coaches, Live Stream & More!Learn More",CCL,,,https://www.clubchampionsleague.com/
2026 Info Coming Soon!Learn More,2026 Info Coming Soon!Learn More,CCL,,,https://www.clubchampionsleague.com/
Previous,Previous,CCL,,,https://www.clubchampionsleague.com/
Next,Next,CCL,,,https://www.clubchampionsleague.com/
