club_name,canonical_name,league_name,city,state,source_url,source_type,website
ALBION SC Colorado,Albion Colorado,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
ALBION SC Denver,Albion Denver,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Arsenal Colorado,Arsenal Colorado,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Avalanche SC,Avalanche,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
B-Elite Soccer Academy of Denver,B-Elite Academy Of Denver,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Broomfield Soccer Club,Broomfield,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Club America of Colorado,America Of Colorado,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
CO Elevation FC,Co Elevation,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado EDGE,Colorado Edge,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado Ice,Colorado Ice,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado International SA,Colorado International Sa,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado Rapids Youth Soccer Club,Colorado Rapids,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado Rush,Colorado Rush,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado Rush COS,Colorado Rush Cos,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado Soccer Association,Colorado Association,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Colorado United,Colorado,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Denver Kickers Sport Club,Denver Kickers Sport,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Indios Denver SC,Indios Denver,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
North Denver Rush,North Denver Rush,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Northern Colorado Rush,Northern Colorado Rush,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Pikes Peak FC,Pikes Peak,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Pride SC,Pride,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Real Colorado,Real Colorado,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Riverside Soccer Club,Riverside,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Rocky Mountain Soccer Academy,Rocky Mountain Academy,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
United Soccer Club CO,Co,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Vail Valley SC,Vail Valley,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
Westy Soccer,Westy,Colorado Soccer Association,,Colorado,https://system.gotsport.com/org_event/events/5829/clubs,,
