club_name,canonical_name,league_name,city,state,source_url
402 Development Academy,402 Development Academy,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
AFC Lightning,Lightning,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Albion SC Atlanta,Albion Atlanta,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
ALBION SC Denver,Albion Denver,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Alpharetta Ambush Select Soccer,Alpharetta Ambush Select,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Augusta Arsenal SC (GA),Augusta Arsenal,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Carolina Velocity FC,Carolina Velocity,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Central Washington Sounders,Central Washington Sounders,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Charlotte Soccer Academy,Charlotte Academy,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Chicago Empire FC,Chicago Empire,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Chicago Fire Youth SC (CFYSC),Chicago Fire,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Chicago Rush Soccer Club,Chicago Rush,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Coliseum,Coliseum,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Colorado Rapids Youth Soccer Club,Colorado Rapids,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Detroit City FC,Detroit,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
"DME Academy, Sarasota","Dme Academy, Sarasota",DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
FC Dutchmen,Dutchmen,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
FC Sarasota Inc,Sarasota Inc,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
FC Tampa Rangers,Tampa Rangers,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Florida Hawks Futbol Club,Florida Hawks Futbol,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Florida United,Florida,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Fox Soccer Academy of the Carolinas,Fox Academy Of The Carolinas,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Georgia Impact SC,Georgia Impact,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Ginga FC,Ginga,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Harford FC United,Harford,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Inter Atlanta FC,Inter Atlanta,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Inter Connecticut FC,Inter Connecticut,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
James Island Youth SC,James Island,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Lanier Soccer Academy,Lanier Academy,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Lou Fusz Athletic,Lou Fusz Athletic,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Mass City F.C.,Mass .,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Metro Alliance FC,Metro Alliance,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Miami Futbol Academy Rush,Miami Futbol Academy Rush,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Mt. Rainier Futbol Club,Mt. Rainier Futbol,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
NEFC,Nefc,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
NPSA,Npsa,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
NY Rush,Ny Rush,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Orlando City Soccer School Lake Nona,Orlando School Lake Nona,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Palm Beach Kicks,Palm Beach Kicks,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Rhode Island Surf,Rhode Island Surf,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Roswell Santos Soccer Club,Roswell Santos,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Seacoast United Maine SC,Seacoast Maine,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Sol SC Florida,Sol Florida,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Southern Soccer Academy,Southern Academy,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Spokane Shadow,Spokane Shadow,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Sporting CT,Sporting Ct,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Sporting Kaw Valley Soccer Club,Sporting Kaw Valley,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Sporting Wichita,Sporting Wichita,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
TopHat,Tophat,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Tormenta FC,Tormenta,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Triumph Youth Soccer,Triumph,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Union KC Soccer Club,Union Kc,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
VA Rush Soccer Club,Va Rush,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Wake FC,Wake,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Washington East Surf Soccer Club,Washington East Surf,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Westchester Rush,Westchester Rush,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Western New York Flash,Western New York Flash,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
Western United Pioneers FC,Western Pioneers,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
West Florida Flames,West Florida Flames,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs
ALBION SC Colorado,Albion Colorado,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
ALBION SC Miami,Albion Miami,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
ALBION SC Santa Monica,Albion Santa Monica,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Arizona Soccer Club,Arizona,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
California Football Academy,California Football Academy,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
City SC,,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
City SC - San Marcos,- San Marcos,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
City SC Southwest,Southwest,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Colorado Rush,Colorado Rush,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Diablo Valley Futbol Club,Diablo Valley Futbol,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Elk Grove Soccer,Elk Grove,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
FLYTE SC IE,Flyte Ie,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Houston Rangers,Houston Rangers,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Idaho Surf SC,Idaho Surf,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
IdeaSport Soccer Academy,Ideasport Academy,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
La Roca FC,La Roca,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
LA Surf Soccer Club,La Surf,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
NM Rapids SC,Nm Rapids,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Oaks FC,Oaks,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Phoenix Premier FC,Phoenix Premier,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Sand and Surf SC,Sand And Surf,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Santa Barbara Soccer Club,Santa Barbara,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
SA United Soccer Club,Sa,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
SC del Sol,Del Sol,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
SoCal Elite FC,Socal Elite,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
Wasatch SC,Wasatch,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs
956 United,956,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
ALBION SC Central Valley,Albion Central Valley,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
ALBION SC Las Vegas,Albion Las Vegas,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
ALBION SC Riverside,Albion Riverside,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
ALBION SC San Diego,Albion San Diego,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
ALBION SC Silicon Valley,Albion Silicon Valley,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Broomfield Soccer Club,Broomfield,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Cali Rise,Cali Rise,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Capital City SC,Capital,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Central Cal Aztecs,Central Cal Aztecs,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Eastshore Alliance FC,Eastshore Alliance,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
El Paso Premier League,El Paso Premier League,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
El Paso Surf Soccer Club,El Paso Surf,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Empire SC,Empire,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
FRAM SC,Fram,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
GFI Academy,Gfi Academy,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Inland Surf,Inland Surf,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Livermore Fusion SC,Livermore Fusion,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
North Coast Futbol Club,North Coast Futbol,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Northern Colorado Lightning Academy,Northern Colorado Lightning Academy,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Rangers FC,Rangers,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Real Salt Lake El Paso East,Real Salt Lake El Paso East,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Roseville Youth Soccer Club,Roseville,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
RSL-AZ North,Rsl-Az North,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
RSL-AZ South,Rsl-Az South,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
RSL-AZ Southern AZ,Rsl-Az Southern Az,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
SDSC Surf,Sdsc Surf,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
SoCal Reds FC,Socal Reds,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Soccer Central/AC River/SA Athenians,Central/ River/Sa Athenians,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Southern Arizona Soccer Club,Southern Arizona,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Sporting Slammers FC,Sporting Slammers,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Sting Soccer Club,Sting,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
West Coast F.C.,West Coast .,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs
Rush NY- Albany,Rush Ny- Albany,DPL,,,https://system.gotsport.com/org_event/events/37207/clubs
SFC New England,New England,DPL,,,https://system.gotsport.com/org_event/events/37207/clubs
Arizona Arsenal Soccer Club,Arizona Arsenal,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
ASG,Asg,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
AYSO UNITED,Ayso,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
Boca Orange County,Boca Orange County,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
Central Coast Surf Soccer Club,Central Coast Surf,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
Central Coast United SC,Central Coast,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
Ceres Rush,Ceres Rush,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
CFC North,Cfc North,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs
