club_name,canonical_name,league_name,city,state,source_url
Atletico San Lucas,Atletico San Lucas,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Carle Place (LIJSL),Carle Place,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Cedar Stars Academy North,Cedar Stars Academy North,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Clarkstown Soccer Club,Clarkstown,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Eastern New York Youth Soccer Association,Eastern New York Association,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
FC Copa Academy,Copa Academy,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
FC Westchester,Westchester,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Harborfields Soccer Club,Harborfields,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Harrison Futbol Club,Harrison Futbol,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Hoboken United,Hoboken,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Inter NJ Soccer Club,Inter Nj,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Kearny Football Club,Kearny Football,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
La Finca Futbol,La Finca Futbol,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Marlboro Soccer Association,Marlboro Association,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
New York Eagles Soccer Club,New York Eagles,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Next Level Soccer Academy (NJ),Next Level Academy,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Northern Valley Soccer Club,Northern Valley,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Patchogue-Medford Youth Soccer League,Patchogue-Medford League,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Players Development Academy,Players Development Academy,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
SA FAIRVIEW,Sa Fairview,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
SC Gjoa,Gjoa,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
STA,Sta,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
STA Mount Olive Soccer Club,Sta Mount Olive,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
St. Patrick's SC,St. Patrick'S,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Valencia Soccer Academy,Valencia Academy,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Wappinger United Soccer Club,Wappinger,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
World Class FC,World Class,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
Z - Peekskill,Z - Peekskill,Eastern New York Youth Soccer Association,,Eastern NY,https://system.gotsport.com/org_event/events/39275/clubs
