club_name,canonical_name,league_name,city,state,source_url,source_type,website
AC United,,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Anderson Monarch SC,Anderson Monarch,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Athletic Club of Fairhill,Athletic Of Fairhill,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Boyertown SC,Boyertown,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Bridesburg Cougars,Bridesburg Cougars,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Bristol Soccer Club,Bristol,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Buckingham United Soccer Club (CBAA),Buckingham,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Capitolo Soccer Club,Capitolo,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Central Bucks AA,Central Bucks Aa,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Cheltenham Jayvees,Cheltenham Jayvees,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
Chestnut Hill Youth Sports Club,Chestnut Hill Sports,Eastern Pennsylvania Youth Soccer,,Eastern PA,https://www.google.com/maps/d/kml?forcekml=1&mid=1LEvbghoFLjxzt4z_UyuykmhEqm-n58g,,
