club_name,canonical_name,league_name,city,state,source_url
1974 Newark FC,1974 Newark,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
AC Connecticut,Connecticut,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Alabama FC,Alabama,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Alabama FC Huntsville,Alabama Huntsville,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Albion Hurricanes FC,Albion Hurricanes,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Arizona Arsenal,Arizona Arsenal,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Arkansas Comets FC,Arkansas Comets,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Arkansas Rising,Arkansas Rising,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Arlington Soccer,Arlington,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Arsenal Colorado,Arsenal Colorado,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Association FC,Association,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Atlanta Fire United,Atlanta Fire,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Avanti SA,Avanti Sa,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
BRYC Academy,Bryc Academy,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
BVBIA,Bvbia,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Baltimore Celtic,Baltimore Celtic,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Beach FC (CA),Beach,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Black Watch Premier,Black Watch Premier,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Blast FC Academy,Blast Academy,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Bloomingdale Lightning FC,Bloomingdale Lightning,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Boise Timbers FC,Boise Timbers,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Brentwood SC,Brentwood,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Brooklyn United,Brooklyn,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
CAU Force,Cau Force,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
CCV Stars,Ccv Stars,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
CESA Triumph,Cesa Triumph,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
CFC North,Cfc North,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
CHALLENGE UNITED,Challenge,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
COSC,Cosc,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
CV Futbol Academy,Cv Futbol Academy,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Cap City Athletic 1847,Cap Athletic 1847,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Cape Coral SA,Cape Coral Sa,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Capital FC,Capital,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Central Washington Sounders,Central Washington Sounders,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Charlotte SA Blue,Charlotte Sa Blue,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Charlotte SA White,Charlotte Sa White,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Chattanooga Red Wolves SC,Chattanooga Red Wolves,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Chicago City SC,Chicago,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Chicago Inter Soccer,Chicago Inter,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Chicago Magic,Chicago Magic,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Chicago Soccer Academy,Chicago Academy,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Cincinnati Elite FC,Cincinnati Elite,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Cleveland Force SC White,Cleveland Force White,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Cleveland Force SC Yellow,Cleveland Force Yellow,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Clovis Crossfire,Clovis Crossfire,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Club America Stockton,America Stockton,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Coastal Rush,Coastal Rush,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Colorado EDGE SC,Colorado Edge,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Colorado Rapids North,Colorado Rapids North,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Colorado Rapids South,Colorado Rapids South,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Colorado Rush Academy Blue,Colorado Rush Academy Blue,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Columbus Force,Columbus Force,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Concorde Fire Platinum,Concorde Fire Platinum,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Concorde Fire Premier,Concorde Fire Premier,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Croatia Juniors,Croatia Juniors,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
DCSC,Dcsc,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
DKSC,Dksc,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Dallas Texans,Dallas Texans,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Davie United SC,Davie,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Davis Legacy,Davis Legacy,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Delaware FC,Delaware,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Detroit City FC West,Detroit West,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Doral Soccer Club,Doral,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
EPSC,Epsc,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
Eagle FC,Eagle,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
East Bay United,East Bay,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
East Coast Surf SC,East Coast Surf,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
East Meadow SC,East Meadow,ECNL Regional League Boys,,,https://theecnl.com/sports/ecnl-regional-league-boys
