club_name,canonical_name,league_name,city,state,source_url,source_type,website
3RSC,3Rsc,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
AC Connecticut,Connecticut,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
AC Marin,Marin,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
AFA Fillies,Afa Fillies,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Alabama FC,Alabama,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Alabama FC Huntsville,Alabama Huntsville,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Alameda SC,Alameda,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Albany Alleycats,Albany Alleycats,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Albion Hurricanes FC,Albion Hurricanes,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Arizona Arsenal,Arizona Arsenal,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Arkansas Comets FC,Arkansas Comets,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Arkansas Rising,Arkansas Rising,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Arlington Soccer,Arlington,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Arsenal Colorado,Arsenal Colorado,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Association FC,Association,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Atlanta Fire United,Atlanta Fire,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
BOREAL FC,Boreal,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
BRYC Academy,Bryc Academy,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Bay Area Surf,Bay Area Surf,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Beach FC (CA),Beach,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Bethesda SC,Bethesda,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Boise Thorns FC,Boise Thorns,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Burlingame SC,Burlingame,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
CAU Force,Cau Force,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
CESA Liberty,Cesa Liberty,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
CFC North,Cfc North,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
COSC,Cosc,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
CT Rush Select,Ct Rush Select,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
CV Futbol Academy,Cv Futbol Academy,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
California Magic,California Magic,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Cap City Athletic 1847,Cap Athletic 1847,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Cape Coral SA,Cape Coral Sa,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Central Washington,Central Washington,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Challenge SC,Challenge,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Charlotte SA Blue,Charlotte Sa Blue,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Charlotte SA Gold,Charlotte Sa Gold,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Charlotte SA White,Charlotte Sa White,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Chattanooga Red Wolves SC,Chattanooga Red Wolves,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Chicago Inter Soccer,Chicago Inter,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Cincinnati Elite FC,Cincinnati Elite,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
City SC Utah,Utah,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Classics Elite,Classics Elite,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Cleveland Force SC,Cleveland Force,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Coastal Rush,Coastal Rush,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Colorado EDGE,Colorado Edge,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Colorado Rapids Central,Colorado Rapids Central,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Colorado Rapids North,Colorado Rapids North,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Colorado Rapids South,Colorado Rapids South,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Colorado Rush Academy White,Colorado Rush Academy White,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Columbus Force,Columbus Force,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Concorde Fire Platinum,Concorde Fire Platinum,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Concorde Fire Premier,Concorde Fire Premier,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Connecticut FC Legacy,Connecticut Legacy,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
DCSC,Dcsc,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
DKSC,Dksc,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Dallas Texans,Dallas Texans,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Davis Legacy,Davis Legacy,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Delaware FC,Delaware,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Detroit City FC West,Detroit West,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Diablo Valley FC,Diablo Valley,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Eagles SC,Eagles,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
East Meadow SC,East Meadow,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Eastern FC,Eastern,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Eastshore Alliance FC,Eastshore Alliance,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Eastside FC,Eastside,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Eastside Timbers,Eastside Timbers,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Eclipse Select SC,Eclipse Select,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Edina Soccer Club,Edina,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
El Camino FC,El Camino,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Elite FC,Elite,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
Evolution SC Mercurial,Evolution Mercurial,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC 1974 Libertyville,1974 Libertyville,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Alliance,Alliance,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Copa Academy,Copa Academy,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC DELCO,Delco,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Dallas,Dallas,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Dayton,Dayton,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Europa,Europa,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Pride Elite,Pride Elite,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Prime,Prime,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Prime Miami,Prime Miami,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Stars Blue,Stars Blue,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
FC Stars Skyblue,Stars Skyblue,ECNL Regional League Girls,,,https://theecnl.com/sports/ecnl-regional-league-girls,,
