club_name,canonical_name,league_name,city,state,source_url,source_type,website
1974 Newark FC,1974 Newark,ECNL,,,https://theecnl.com/sports/directory,,
3RSC,3Rsc,ECNL,,,https://theecnl.com/sports/directory,,
AC Connecticut,Connecticut,ECNL,,,https://theecnl.com/sports/directory,,
Alabama FC,Alabama,ECNL,,,https://theecnl.com/sports/directory,,
Albion Hurricanes FC,Albion Hurricanes,ECNL,,,https://theecnl.com/sports/directory,,
Arizona Arsenal,Arizona Arsenal,ECNL,,,https://theecnl.com/sports/directory,,
Arlington Soccer,Arlington,ECNL,,,https://theecnl.com/sports/directory,,
Association FC,Association,ECNL,,,https://theecnl.com/sports/directory,,
Atlanta Fire United,Atlanta Fire,ECNL,,,https://theecnl.com/sports/directory,,
BVBIA,Bvbia,ECNL,,,https://theecnl.com/sports/directory,,
Baltimore Celtic,Baltimore Celtic,ECNL,,,https://theecnl.com/sports/directory,,
Bay Area Surf,Bay Area Surf,ECNL,,,https://theecnl.com/sports/directory,,
Beach FC (CA),Beach,ECNL,,,https://theecnl.com/sports/directory,,
Bethesda SC,Bethesda,ECNL,,,https://theecnl.com/sports/directory,,
Boise Thorns FC,Boise Thorns,ECNL,,,https://theecnl.com/sports/directory,,
Boise Timbers FC,Boise Timbers,ECNL,,,https://theecnl.com/sports/directory,,
CCV Stars,Ccv Stars,ECNL,,,https://theecnl.com/sports/directory,,
CESA Liberty,Cesa Liberty,ECNL,,,https://theecnl.com/sports/directory,,
CESA Triumph,Cesa Triumph,ECNL,,,https://theecnl.com/sports/directory,,
COSC,Cosc,ECNL,,,https://theecnl.com/sports/directory,,
Capital FC,Capital,ECNL,,,https://theecnl.com/sports/directory,,
Challenge SC,Challenge,ECNL,,,https://theecnl.com/sports/directory,,
Charlotte SA,Charlotte Sa,ECNL,,,https://theecnl.com/sports/directory,,
Charlotte SA Academy,Charlotte Sa Academy,ECNL,,,https://theecnl.com/sports/directory,,
Chattanooga Red Wolves SC,Chattanooga Red Wolves,ECNL,,,https://theecnl.com/sports/directory,,
Chicago Inter Soccer,Chicago Inter,ECNL,,,https://theecnl.com/sports/directory,,
Chicago Magic,Chicago Magic,ECNL,,,https://theecnl.com/sports/directory,,
Classics Elite,Classics Elite,ECNL,,,https://theecnl.com/sports/directory,,
Cleveland Force SC,Cleveland Force,ECNL,,,https://theecnl.com/sports/directory,,
Colorado EDGE SC,Colorado Edge,ECNL,,,https://theecnl.com/sports/directory,,
Colorado Rapids,Colorado Rapids,ECNL,,,https://theecnl.com/sports/directory,,
Colorado Rapids Central,Colorado Rapids Central,ECNL,,,https://theecnl.com/sports/directory,,
Colorado Rush Academy Blue,Colorado Rush Academy Blue,ECNL,,,https://theecnl.com/sports/directory,,
Columbia Premier SC,Columbia Premier,ECNL,,,https://theecnl.com/sports/directory,,
Concorde Fire Platinum,Concorde Fire Platinum,ECNL,,,https://theecnl.com/sports/directory,,
Concorde Fire Premier,Concorde Fire Premier,ECNL,,,https://theecnl.com/sports/directory,,
DKSC,Dksc,ECNL,,,https://theecnl.com/sports/directory,,
Dallas Texans,Dallas Texans,ECNL,,,https://theecnl.com/sports/directory,,
Dallas Texans Academy,Dallas Texans Academy,ECNL,,,https://theecnl.com/sports/directory,,
Davis Legacy,Davis Legacy,ECNL,,,https://theecnl.com/sports/directory,,
De Anza Force,De Anza Force,ECNL,,,https://theecnl.com/sports/directory,,
Delaware FC,Delaware,ECNL,,,https://theecnl.com/sports/directory,,
Doral Soccer Club,Doral,ECNL,,,https://theecnl.com/sports/directory,,
Eagles SC,Eagles,ECNL,,,https://theecnl.com/sports/directory,,
East Coast Surf SC,East Coast Surf,ECNL,,,https://theecnl.com/sports/directory,,
East Meadow SC,East Meadow,ECNL,,,https://theecnl.com/sports/directory,,
Eastside FC,Eastside,ECNL,,,https://theecnl.com/sports/directory,,
Eclipse Select SC,Eclipse Select,ECNL,,,https://theecnl.com/sports/directory,,
El Camino Futbol Club Salinas,El Camino Futbol Salinas,ECNL,,,https://theecnl.com/sports/directory,,
El Paso Locomotive,El Paso Locomotive,ECNL,,,https://theecnl.com/sports/directory,,
Eugene Metro FC,Eugene Metro,ECNL,,,https://theecnl.com/sports/directory,,
FC Alliance,Alliance,ECNL,,,https://theecnl.com/sports/directory,,
FC DELCO,Delco,ECNL,,,https://theecnl.com/sports/directory,,
FC Dallas,Dallas,ECNL,,,https://theecnl.com/sports/directory,,
FC Dallas Red,Dallas Red,ECNL,,,https://theecnl.com/sports/directory,,
FC Dallas White,Dallas White,ECNL,,,https://theecnl.com/sports/directory,,
FC Portland,Portland,ECNL,,,https://theecnl.com/sports/directory,,
FC Pride Elite,Pride Elite,ECNL,,,https://theecnl.com/sports/directory,,
FC Prime,Prime,ECNL,,,https://theecnl.com/sports/directory,,
FC Stars,Stars,ECNL,,,https://theecnl.com/sports/directory,,
FC Stars Blue,Stars Blue,ECNL,,,https://theecnl.com/sports/directory,,
FC Stars White,Stars White,ECNL,,,https://theecnl.com/sports/directory,,
FC Westlake,Westlake,ECNL,,,https://theecnl.com/sports/directory,,
FC Wichita,Wichita,ECNL,,,https://theecnl.com/sports/directory,,
FC Wisconsin,Wisconsin,ECNL,,,https://theecnl.com/sports/directory,,
FSA FC,Fsa,ECNL,,,https://theecnl.com/sports/directory,,
Fairfax VA Union,Fairfax Va Union,ECNL,,,https://theecnl.com/sports/directory,,
Fairfax Virginia Union,Fairfax Virginia Union,ECNL,,,https://theecnl.com/sports/directory,,
Florida Kraze,Florida Kraze,ECNL,,,https://theecnl.com/sports/directory,,
Florida Krush,Florida Krush,ECNL,,,https://theecnl.com/sports/directory,,
Florida Premier FC,Florida Premier,ECNL,,,https://theecnl.com/sports/directory,,
Florida West FC,Florida West,ECNL,,,https://theecnl.com/sports/directory,,
Fort Lauderdale United FC,Fort Lauderdale,ECNL,,,https://theecnl.com/sports/directory,,
GTFC Impact,Gtfc Impact,ECNL,,,https://theecnl.com/sports/directory,,
Germantown Legends,Germantown Legends,ECNL,,,https://theecnl.com/sports/directory,,
Gretna Elite Academy,Gretna Elite Academy,ECNL,,,https://theecnl.com/sports/directory,,
HEX FC Bucks,Hex Bucks,ECNL,,,https://theecnl.com/sports/directory,,
HEX FC Dominion,Hex Dominion,ECNL,,,https://theecnl.com/sports/directory,,
