club_name,canonical_name,league_name,city,state,source_url,source_type,website
Atlantic United Soccer Club,Atlantic,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Ball Masters,Ball Masters,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Bensalem Soccer Academy,Bensalem Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Bros Select Group,Bros Select Group,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
BW Gottschee Academy,Bw Gottschee Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Cecil Soccer League,Cecil League,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Cherry Hill FC,Cherry Hill,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Cheshire Soccer Academy,Cheshire Academy,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Cohansey SC,Cohansey,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Community SC,Community,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Coppermine Soccer Club,Coppermine,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Cranford SC,Cranford,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Deptford Premier FC,Deptford Premier,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Eagles Training Center,Eagles Training Center,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
East Greenwich SA,East Greenwich Sa,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
East Windsor PAL,East Windsor Pal,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Exeter United FC,Exeter,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
Falls SC,Falls,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
FC Ballyhoo,Ballyhoo,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
FC Somers,Somers,EDP Soccer,,,https://system.gotsport.com/org_event/events/34957/clubs,,
