club_name,canonical_name,league_name,city,state,source_url
Atletico Dallas Youth,Atletico Dallas,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
BVB International Academy Texas,Bvb International Academy Texas,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
Dallas Surf,Dallas Surf,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
DKSC,Dksc,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
Houston Surf Soccer Club,Houston Surf,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
HTX,Htx,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
Solar SC,Solar,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
Sting Soccer Club,Sting,Elite 64,,,https://system.gotsport.com/org_event/events/50936/clubs
Century United Soccer,Century,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Club Ohio,Ohio,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
FC Dayton,Dayton,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Fort Wayne United FC,Fort Wayne,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Hoosier Futbol Club,Hoosier Futbol,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Indy Eleven Academy,Indy Eleven Academy,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Indy Premier SC,Indy Premier,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
NWI Lions United,Nwi Lions,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Pittsburgh Independence FC,Pittsburgh Independence,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Spire FC,Spire,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Total Futbol Academy (OH),Total Futbol Academy,Elite 64,,,https://system.gotsport.com/org_event/events/50937/clubs
Central Illinois United,Central Illinois,Elite 64,,,https://system.gotsport.com/org_event/events/50938/clubs
Greater Libertyville Soccer Association,Greater Libertyville Association,Elite 64,,,https://system.gotsport.com/org_event/events/50938/clubs
Madison 56ers,Madison 56Ers,Elite 64,,,https://system.gotsport.com/org_event/events/50938/clubs
