club_name,canonical_name,league_name,city,state,source_url,source_type,website
703 Warriors,703 Warriors,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Arlington Soccer Association,Arlington Association,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Blue Ridge United,Blue Ridge,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Braddock Road Youth Club,Braddock Road,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
EPIC SC,Epic,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
FC Millennium International,Millennium International,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Herndon Youth Soccer,Herndon,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Leesburg FC,Leesburg,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Loudoun Soccer Club,Loudoun,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Manassas Soccer Club,Manassas,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
McLean YS,Mclean Ys,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
MD Independent,Md Independent,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Prince William Soccer Inc,Prince William Inc,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Real World Futbol Club,Real World Futbol,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Sterling Soccer Club,Sterling,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
St. Mary's Soccer,St. Mary'S,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Team America,Team America,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
The St. James Football Club,The St. James Football,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Villarreal Virginia Academy,Villarreal Virginia Academy,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Virginia Independent Soccer Team Association,Virginia Independent Team Association,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
Virginia Valor FC,Virginia Valor,Empire Soccer League,,,https://system.gotsport.com/org_event/events/45817/clubs,,
