club_name,canonical_name,league_name,city,state,source_url
Atletico de Madrid Academia Miami,Atletico De Madrid Academia Miami,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Auburndale Youth SC,Auburndale,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Bartow SC,Bartow,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Big Sun YSL,Big Sun Ysl,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Brave Sporting Club,Brave Sporting,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Brevard Beachside Soccer Club Inc,Brevard Beachside Inc,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Brevard SA,Brevard Sa,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Central Brevard Soccer,Central Brevard,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Central Florida SC,Central Florida,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Chargers SC CLW,Chargers Clw,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Clermont Football Club,Clermont Football,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Cooper City Optimist,Cooper Optimist,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
CTC Bandits FC,Ctc Bandits,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
DC Sports,Dc Sports,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Deltona Youth SC,Deltona,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Diamonds Soccer Academy,Diamonds Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
"DME Academy, Sarasota","Dme Academy, Sarasota",Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Doral West Soccer Academy,Doral West Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
East Florida United,East Florida,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Elite Soccer Academy (FL),Elite Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
FC Boca Predators,Boca Predators,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
FC Tampa Rangers,Tampa Rangers,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
FLA Pro Academy,Fla Pro Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Florida Keys SC,Florida Keys,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Florida Legends Football Club,Florida Legends Football,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Florida Premier FC,Florida Premier,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Florida Prime Soccer,Florida Prime,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Florida Tropics Academy,Florida Tropics Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Four Corners Football Club,Four Corners Football,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
GGS Soccer Academy,Ggs Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Hobe Sound SC,Hobe Sound,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Hunter's Creek SC,Hunter'S Creek,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
Hurricanes United FC,Hurricanes,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
IdeaSport Soccer Academy,Ideasport Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
IMG Academy,Img Academy,Florida Youth Soccer Association,,Florida,https://system.gotsport.com/org_event/events/43009/clubs
