club_name,canonical_name,league_name,city,state,source_url,source_type,website
Alianza SC,Alianza,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Alliance SC,Alliance,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
All-In FC,All-In,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Asheboro City Futbol Club,Asheboro Futbol,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Atlanta Fire United,Atlanta Fire,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Augusta Arsenal SC (SC),Augusta Arsenal,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Beach United FC,Beach,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
BVB IA Georgia,Bvb Ia Georgia,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Carolina Core FC Youth,Carolina Core,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Carolina Elite Soccer Academy,Carolina Elite Academy,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Carolina FC,Carolina,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Carolina Velocity FC,Carolina Velocity,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Catawba Valley Youth Soccer Association,Catawba Valley Association,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Charleston United SC,Charleston,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Clemson Anderson SA,Clemson Anderson Sa,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Coast FA,Coast Fa,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Congaree Rapid FC,Congaree Rapid,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Easley SC,Easley,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Ecusta FC,Ecusta,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Florence SA,Florence Sa,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Furman United SC,Furman,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Georgia Athletic SC,Georgia Athletic,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Georgia Storm Soccer Academy,Georgia Storm Academy,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Georgia United SA,Georgia Sa,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
James Island Youth SC,James Island,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Kickoff Soccer Academy,Kickoff Academy,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Legion Futbol Club,Legion Futbol,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Lexington SA,Lexington Sa,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Lowcountry Rush Soccer Club,Lowcountry Rush,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Macon SC,Macon,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Northwest Soccer Academy,Northwest Academy,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Oconee Futbol Club,Oconee Futbol,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Pender Youth Soccer Association,Pender Association,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Savannah United Select,Savannah Select,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
SCS Clinton United,Scs Clinton,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
South Carolina United FC,South Carolina,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
TRAC Covered Bridge Soccer Club,Trac Covered Bridge,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Triangle United,Triangle,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
UFA South Georgia,Ufa South Georgia,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
United Futbol Academy,Futbol Academy,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Wake FC,Wake,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Warriors FC,Warriors,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Waxhaw Athletic Association,Waxhaw Athletic Association,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
Wilmington Hammerheads FC,Wilmington Hammerheads,Georgia Soccer,,Georgia,https://system.gotsport.com/org_event/events/50910/clubs,,
