club_name,canonical_name,league_name,city,state,source_url,source_type,website
Atletico Dallas Youth,Atletico Dallas,Girls Academy,Richardson,TX,https://girlsacademyleague.com/members/,,
BVB International Academy,Bvb International Academy,Girls Academy,Carrolton,TX,https://girlsacademyleague.com/members/,,
Dallas Surf,Dallas Surf,Girls Academy,Dallas,TX,https://girlsacademyleague.com/members/,,
HTX Soccer,Htx,Girls Academy,Houston,TX,https://girlsacademyleague.com/members/,,
Lou Fusz Athletic,Lou Fusz Athletic,Girls Academy,St. Louis,MO,https://girlsacademyleague.com/members/,,
Louisiana Elite,Louisiana Elite,Girls Academy,Baton Rouge,LA,https://girlsacademyleague.com/members/,,
RISE SC,Rise,Girls Academy,Houston,TX,https://girlsacademyleague.com/members/,,
San Antonio City SC,San Antonio,Girls Academy,San Antonio,TX,https://girlsacademyleague.com/members/,,
St. Louis Development Academy,St. Louis Development Academy,Girls Academy,St. Louis,MO,https://girlsacademyleague.com/members/,,
Tulsa SC,Tulsa,Girls Academy,Tulsa,OK,https://girlsacademyleague.com/members/,,
Beadling SC,Beadling,Girls Academy,Bridgeville,PA,https://girlsacademyleague.com/members/,,
Century United,Century,Girls Academy,Pittsburgh,PA,https://girlsacademyleague.com/members/,,
Club Ohio,Ohio,Girls Academy,Columbus,OH,https://girlsacademyleague.com/members/,,
Columbus United,Columbus,Girls Academy,Columbus,OH,https://girlsacademyleague.com/members/,,
Cincinnati United Premier Gold,Cincinnati Premier Gold,Girls Academy,Cincinnati,OH,https://girlsacademyleague.com/members/,,
Indy Premier United,Indy Premier,Girls Academy,Noblesville,IN,https://girlsacademyleague.com/members/,,
Kings Hammer SC,Kings Hammer,Girls Academy,Cinncinati,OH,https://girlsacademyleague.com/members/,,
Nashville United,Nashville,Girls Academy,Nashville,TN,https://girlsacademyleague.com/members/,,
One Knoxville SC,One Knoxville,Girls Academy,Knoxville,TN,https://girlsacademyleague.com/members/,,
Central Illinois United,Central Illinois,Girls Academy,Rantoul,IL,https://girlsacademyleague.com/members/,,
Chicago FC United,Chicago,Girls Academy,Chicago,IL,https://girlsacademyleague.com/members/,,
Elmbrook United,Elmbrook,Girls Academy,Brookfield,WI,https://girlsacademyleague.com/members/,,
Galaxy SC,Galaxy,Girls Academy,Naperville,IL,https://girlsacademyleague.com/members/,,
Madison 56ers,Madison 56Ers,Girls Academy,Madison,WI,https://girlsacademyleague.com/members/,,
Michigan Jaguars FC,Michigan Jaguars,Girls Academy,Novi,MI,https://girlsacademyleague.com/members/,,
Michigan Tigers,Michigan Tigers,Girls Academy,Ann Arbor,MI,https://girlsacademyleague.com/members/,,
Midwest United,Midwest,Girls Academy,Kentwood,MI,https://girlsacademyleague.com/members/,,
Sockers FC,Sockers,Girls Academy,Chicago,IL,https://girlsacademyleague.com/members/,,
Kansas Rush SC,Kansas Rush,Girls Academy,Olathe,KS,https://girlsacademyleague.com/members/,,
North Shore United,North Shore,Girls Academy,Milwaukee,WI,https://girlsacademyleague.com/members/,,
