club_name,canonical_name,league_name,city,state,source_url
Kansas Rush Soccer Club,Kansas Rush,Heartland Soccer Association,Olathe,KS,https://www.heartlandsoccer.net/member-clubs/
Overland Park Soccer Club,Overland Park,Heartland Soccer Association,Overland Park,KS,https://www.heartlandsoccer.net/member-clubs/
Northeast United Soccer Club,Northeast,Heartland Soccer Association,Kansas City,KS,https://www.heartlandsoccer.net/member-clubs/
Kansas Premier Soccer,Kansas Premier,Heartland Soccer Association,Overland Park,KS,https://www.heartlandsoccer.net/member-clubs/
Sporting Blue Valley,Sporting Blue Valley,Heartland Soccer Association,Overland Park,KS,https://www.heartlandsoccer.net/member-clubs/
Sporting KC Academy,Sporting Kc Academy,Heartland Soccer Association,Kansas City,MO,https://www.heartlandsoccer.net/member-clubs/
Swope Park Rangers Academy,Swope Park Rangers Academy,Heartland Soccer Association,Kansas City,MO,https://www.heartlandsoccer.net/member-clubs/
FC Storm KC,Storm Kc,Heartland Soccer Association,Olathe,KS,https://www.heartlandsoccer.net/member-clubs/
JB Marine SC,Jb Marine,Heartland Soccer Association,Belton,MO,https://www.heartlandsoccer.net/member-clubs/
FORGE FC Kansas City,Forge Kansas,Heartland Soccer Association,Lenexa,KS,https://www.heartlandsoccer.net/member-clubs/
Kansas City United FC,Kansas,Heartland Soccer Association,Kansas City,MO,https://www.heartlandsoccer.net/member-clubs/
MO Rush,Mo Rush,Heartland Soccer Association,Lee's Summit,MO,https://www.heartlandsoccer.net/member-clubs/
Shawnee Mission SC,Shawnee Mission,Heartland Soccer Association,Shawnee Mission,KS,https://www.heartlandsoccer.net/member-clubs/
Capital Area Soccer Academy,Capital Area Academy,Heartland Soccer Association,Topeka,KS,https://www.heartlandsoccer.net/member-clubs/
AFC Storm,Storm,Heartland Soccer Association,Lenexa,KS,https://www.heartlandsoccer.net/member-clubs/
Lenexa SC,Lenexa,Heartland Soccer Association,Lenexa,KS,https://www.heartlandsoccer.net/member-clubs/
Blue Valley SC,Blue Valley,Heartland Soccer Association,Overland Park,KS,https://www.heartlandsoccer.net/member-clubs/
FC Wichita Youth,Wichita,Heartland Soccer Association,Wichita,KS,https://www.heartlandsoccer.net/member-clubs/
Legends FC Midwest,Legends Midwest,Heartland Soccer Association,Kansas City,MO,https://www.heartlandsoccer.net/member-clubs/
Johnson County FC,Johnson County,Heartland Soccer Association,Leawood,KS,https://www.heartlandsoccer.net/member-clubs/
KC Spirit SC,Kc Spirit,Heartland Soccer Association,Kansas City,MO,https://www.heartlandsoccer.net/member-clubs/
Heartland Soccer Academy,Heartland Academy,Heartland Soccer Association,Overland Park,KS,https://www.heartlandsoccer.net/member-clubs/
Midwest United FC,Midwest,Heartland Soccer Association,Kansas City,MO,https://www.heartlandsoccer.net/member-clubs/
Gateway Rush,Gateway Rush,Heartland Soccer Association,St. Louis,MO,https://www.heartlandsoccer.net/member-clubs/
Sporting Shocker SC,Sporting Shocker,Heartland Soccer Association,Wichita,KS,https://www.heartlandsoccer.net/member-clubs/
Comets Youth SC,Comets,Heartland Soccer Association,Overland Park,KS,https://www.heartlandsoccer.net/member-clubs/
Albion Midwest,Albion Midwest,Heartland Soccer Association,Kansas City,MO,https://www.heartlandsoccer.net/member-clubs/
Liberty Belles SC,Liberty Belles,Heartland Soccer Association,Liberty,MO,https://www.heartlandsoccer.net/member-clubs/
Gretna Elite SC,Gretna Elite,Heartland Soccer Association,Gretna,NE,https://www.heartlandsoccer.net/member-clubs/
