club_name,canonical_name,league_name,city,state,source_url,source_type,website
ALBION SC Idaho,Albion Idaho,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Boise Timbers | Thorns,Boise Timbers | Thorns,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Boise Wolves Soccer Club,Boise Wolves,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
CGA Academy SC,Cga Academy,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Elite FC (NV),Elite,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Global Sports Academy,Global Sports Academy,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Idaho Inferno Soccer Club,Idaho Inferno,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Idaho Juniors FC,Idaho Juniors,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Idaho Legends,Idaho Legends,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Idaho Magic Futbol Club,Idaho Magic Futbol,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Idaho Rush Soccer Club,Idaho Rush,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Idaho Storm,Idaho Storm,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Idaho Surf SC,Idaho Surf,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Ida-Ore Soccer Club,Ida-Ore,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
IFFC,Iffc,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Indie Chicas,Indie Chicas,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Jackson Hole Youth Soccer,Jackson Hole,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Kuna PAL,Kuna Pal,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Legacy SC,Legacy,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
McCall United Soccer Association,Mccall Association,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Nampa Premier Soccer Club,Nampa Premier,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
North Boise FC,North Boise,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
North Clackamas SC,North Clackamas,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Palacios Futbol Club (PFC),Palacios Futbol,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Park City SC,Park,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Project 208,Project 208,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
PVSC United (GCYSL),Pvsc,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Real Soccer Club,Real,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Sting Soccer Club,Sting,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Sun Valley Soccer Club,Sun Valley,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Teton FC,Teton,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
TF Rapids SC,Tf Rapids,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Wasatch SC,Wasatch,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/46645/clubs,,
Sawtooth Premier Soccer Club,Sawtooth Premier,Idaho Youth Soccer Association,,Idaho,https://system.gotsport.com/org_event/events/50328/clubs,,
