club_name,canonical_name,league_name,city,state,source_url,source_type,website
ACS Sycamore,Acs Sycamore,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Addison United,Addison,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Allegiant FC,Allegiant,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Atletico Soledad,Atletico Soledad,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Aurora Eagles SC,Aurora Eagles,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Aurora Juventud Futbol Club,Aurora Juventud Futbol,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Aurora USA Soccer Academy,Aurora Usa Academy,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
AYSO Region 367,Ayso Region 367,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
BH Dragons,Bh Dragons,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Black Wolves FC,Black Wolves,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
BLFC,Blfc,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Bloomingdale Lightning FC,Bloomingdale Lightning,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Cadence SFC,Cadence,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Carol Stream Panthers SC,Carol Stream Panthers,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Arsenal Soccer Club,Chicago Arsenal,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Blast,Chicago Blast,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Calcio,Chicago Calcio,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Edge SC,Chicago Edge,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Fire Youth SC (CFYSC),Chicago Fire,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Futbol Alliance (CFA),Chicago Futbol Alliance,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Heights United,Chicago Heights,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago House Athletic Club,Chicago House Athletic,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago Legion FC,Chicago Legion,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Chicago MX FC,Chicago Mx,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Cityzens FC,Cityzens,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Club Puebla FC Chicago,Puebla Chicago,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Connection SC,Connection,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Deportivo 59 FC,Deportivo 59,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Deportivo Barona,Deportivo Barona,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Eclipse Select Soccer Club,Eclipse Select,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
EGSC Elk Grove Soccer Club,Egsc Elk Grove,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Elite Dragons,Elite Dragons,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Elite Strikers FC,Elite Strikers,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Elmhurst City Surf,Elmhurst Surf,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
European American SC,European American,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Evolution SC,Evolution,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
FC HICKORY HILLS,Hickory Hills,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
FC Lafayette,Lafayette,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
FC Mayas,Mayas,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Fire Strikers Soccer Academy,Fire Strikers Academy,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Galaxy SC,Galaxy,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Gio's Lions SC,Gio'S Lions,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Gladiators FC,Gladiators,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Grand Futbol Club Mustangs,Grand Futbol Mustangs,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Gremio Futbol Club Chicago,Gremio Futbol Chicago,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
HDS Eagles Academy,Hds Eagles Academy,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Hononegah Youth Soccer League,Hononegah League,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Illinois Cardinals Soccer Club,Illinois Cardinals,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Illinois Magic FC,Illinois Magic,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Indiana Elite F.C.,Indiana Elite .,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Inter AC,Inter,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Itasca Park District,Itasca Park District,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Jake's Stars F.C.,Jake'S Stars .,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Junior Warriors,Junior Warriors,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Lake FC,Lake,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Linces,Linces,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Liths Soccer Club,Liths,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Midway Soccer Club,Midway,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
Monarcas Futbol Club,Monarcas Futbol,Illinois Youth Soccer Association,,Illinois,https://system.gotsport.com/org_event/events/41112/clubs,,
