club_name,canonical_name,league_name,city,state,source_url
Argos Youth Soccer,Argos,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Bremen Soccer,Bremen,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Carroll County Youth Soccer,Carroll County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Central Indiana Futbol Club,Central Indiana Futbol,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Culver Soccer,Culver,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Echo Premier,Echo Premier,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Elkhart County United Soccer Club,Elkhart County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
FC Midwest Academy,Midwest Academy,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
FC Twin Lakes,Twin Lakes,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Fort Wayne Sport Club,Fort Wayne Sport,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Fort Wayne United FC,Fort Wayne,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Fulton County Soccer Association,Fulton County Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Goshen Stars Soccer Club,Goshen Stars,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Goshen Youth Soccer Association,Goshen Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Hebron Soccer Club,Hebron,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Huntington United FC,Huntington,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indiana Elite FC,Indiana Elite,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indy Eleven Academy North,Indy Eleven Academy North,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Jr. Irish Soccer Club,Jr. Irish,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
LaVille Youth Sports,Laville Sports,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Logansport Soccer Club,Logansport,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Michiana Soccer Association,Michiana Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Millennium Soccer Association,Millennium Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Muddy River FC,Muddy River,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Plymouth Recreational League,Plymouth Recreational League,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Plymouth United,Plymouth,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Noble Area Soccer Association,Noble Area Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Northwood Soccer Club,Northwood,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
NWI Lions United,Nwi Lions,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Rangers Academy,Rangers Academy,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
St. Joe Soccer League,St. Joe League,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
The City SC,The,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Triton Soccer,Triton,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Warsaw Travel Soccer Club,Warsaw Travel,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Wawasee Footy Club,Wawasee Footy,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
West End SC,West End,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Alliance Eleven,Alliance Eleven,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Ben Davis SC (Next 11 Academy),Ben Davis,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Blue River SA,Blue River Sa,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Breakfast Optimist of Clinton Youth Soccer,Breakfast Optimist Of Clinton,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Boilers FC,Boilers,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Carmel FC,Carmel,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Centerville SC (K.I.C.S.),Centerville,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Circle City Futbol Club,Circle Futbol,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Clay Youth Soccer Club,Clay,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Danville Soccer,Danville,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Decatur United Soccer Club,Decatur,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Delaware Country Futbol Club,Delaware Country Futbol,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Dynamo FC,Dynamo,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Fayette County Soccer Club,Fayette County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
FC Pride,Pride,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Glendale Soccer Association,Glendale Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
GLRSA,Glrsa,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Greenfield Area Soccer Club,Greenfield Area,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Hamilton North Futbol Club,Hamilton North Futbol,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Hendricks Elite FC,Hendricks Elite,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Henry County Youth Soccer,Henry County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Hoosier FC,Hoosier,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indiana Impact Soccer Club,Indiana Impact,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indy Eleven Academy,Indy Eleven Academy,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indy Premier Soccer Club,Indy Premier,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indy Phoenix FC,Indy Phoenix,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Jay County Soccer Club,Jay County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Kokomo Soccer Club,Kokomo,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Komets Soccer Club,Komets,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Lebanon Youth Soccer Association,Lebanon Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Mill Creek Optimist Soccer Club,Mill Creek Optimist,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Monrovia Youth Soccer,Monrovia,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Montgomery County United Soccer Club,Montgomery County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Naptown United,Naptown,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
New Palestine United Soccer,New Palestine,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Noblesville United Soccer Club,Noblesville,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Northside Soccer,Northside,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Parke County Youth Soccer Assoc.,Parke County Assoc.,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Pendleton FC,Pendleton,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Plainfield Optimist Soccer,Plainfield Optimist,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Putnam County Youth Soccer,Putnam County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Richmond Premier Soccer Club,Richmond Premier,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Rush County Youth Soccer,Rush County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Sheridan Youth Soccer Club,Sheridan,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
South Central Soccer Academy Eleven,South Central Academy Eleven,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Speedway Youth Soccer,Speedway,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Sporting Indiana FC,Sporting Indiana,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
St. Francis Premier Soccer Club,St. Francis Premier,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Tipton Youth Soccer Club,Tipton,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Union County Youth Soccer,Union County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Union FC Indy,Union Indy,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
USA of Indiana,Usa Of Indiana,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Westside United FC,Westside,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Vigo County Youth Soccer Association,Vigo County Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Batesville Soccer Club,Batesville,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Boonville Youth Soccer,Boonville,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Clark County Soccer Association,Clark County Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Columbus Express Soccer Club,Columbus Express,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Cutters Soccer Club,Cutters,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Decatur County Soccer Club,Decatur County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Evansville Youth Soccer League,Evansville League,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
FCE United,Fce,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Forest Park Youth Soccer,Forest Park,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Franklin County Youth Soccer,Franklin County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Gibson County Soccer Club,Gibson County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Greene County Soccer,Greene County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indiana Southwest Futbol Club,Indiana Southwest Futbol,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Indy Eleven Spirit,Indy Eleven Spirit,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Jasper Youth Soccer,Jasper,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Jefferson County Soccer Association,Jefferson County Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Muscatatuck Soccer Club,Muscatatuck,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Newburgh Youth Soccer,Newburgh,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
North Evansville Youth Soccer Club,North Evansville,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
North Spencer Soccer Association,North Spencer Association,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Orbit Futbol Club,Orbit Futbol,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Perry County Youth Soccer,Perry County,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
Salem Soccer Club,Salem,Indiana Soccer,,Indiana,https://www.google.com/maps/d/kml?forcekml=1&mid=1Wolg1Q7juM55WP0VIGUXHRErDOpcMKo
