club_name,canonical_name,league_name,city,state,source_url
Bluegrass Soccer Club,Bluegrass,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Bowling Green FC,Bowling Green,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Central Kentucky Storm SC,Central Kentucky Storm,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Cynthiana-Harrison County YS,Cynthiana-Harrison County Ys,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Eastern Elite Soccer Academy,Eastern Elite Academy,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Falls City Soccer Club,Falls,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
FC Kentucky,Kentucky,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Fusion FC NKY,Fusion Nky,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Georgetown FC,Georgetown,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Guadalajara SC of Kentucky,Guadalajara Of Kentucky,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
I AM 3RD SOCCER,I Am 3Rd,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Javanon FC,Javanon,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Kentucky Rush SC,Kentucky Rush,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Kings Hammer Soccer Club,Kings Hammer,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Lexington Sporting,Lexington Sporting,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
LouCity / Racing Youth Academy,Loucity / Racing Academy,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Louisville Soccer,Louisville,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Madison United,Madison,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Marion County YS,Marion County Ys,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Mockingbird Valley Premier,Mockingbird Valley Premier,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Nedo SC,Nedo,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Nelson Elite,Nelson Elite,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Owensboro United SC,Owensboro,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Paris-Bourbon County Youth SA,Paris-Bourbon County Sa,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
SKY Soccer Club,Sky,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Southern Indiana United,Southern Indiana,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Total Ginga Academy,Total Ginga Academy,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
"Trident Football Club, Inc.","Trident Football , Inc.",Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
United 1996 F.C,1996,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
Winchester Youth Soccer League,Winchester League,Kentucky Youth Soccer Association,,Kentucky,https://system.gotsport.com/org_event/events/48452/clubs
