club_name,canonical_name,league_name,city,state,source_url,source_type,website
Bangor SC,Bangor,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Bonny Eagle Soccer Club,Bonny Eagle,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Brewer Soccer Club,Brewer,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Brunswick Travel SC,Brunswick Travel,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Cape Elizabeth Soccer Club,Cape Elizabeth,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Coldbrook Travel Soccer Club,Coldbrook Travel,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Cumberland Soccer Club,Cumberland,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Dirigo Soccer Club,Dirigo,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Ellsworth Travel Soccer Club,Ellsworth Travel,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Falmouth Youth Soccer,Falmouth,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Freeport United SC,Freeport,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Gardiner Fire FC,Gardiner Fire,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Gorham YSA,Gorham Ysa,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Kennebunk Soccer Club,Kennebunk,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Knights Soccer Club,Knights,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Lake Region,Lake Region,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Lewiston Auburn Youth Soccer,Lewiston Auburn,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Maranacook Travel Soccer Club,Maranacook Travel,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Marshwood Travel,Marshwood Travel,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Massabesic United SC,Massabesic,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Merrymeeting SC,Merrymeeting,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Midcoast FC,Midcoast,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Oxford County SC,Oxford County,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Patriot Soccer Club,Patriot,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Pen Bay SC,Pen Bay,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Portland Area Youth Soccer Association,Portland Area Association,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Saco Soccer Club,Saco,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Sanford Springvale Soccer Association,Sanford Springvale Association,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Scarborough SC,Scarborough,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
South Portland Strikers,South Portland Strikers,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Turner  Soccer Club,Turner,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Waterville Youth Soccer Association,Waterville Association,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Westbrook Soccer Club,Westbrook,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Western Maine United,Western Maine,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Windham YSA,Windham Ysa,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Winslow Travel Soccer Club,Winslow Travel,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
Yarmouth Colts SC,Yarmouth Colts,Maine Soccer Association,,Maine,https://system.gotsport.com/org_event/events/45825/clubs,,
