club_name,canonical_name,league_name,city,state,source_url
Abingdon Football Club (AFC Soccer),Abingdon Football,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Achilles Football Club,Achilles Football,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Arundel Soccer Association,Arundel Association,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Baltimore Bays Soccer Club,Baltimore Bays,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Baltimore Crew,Baltimore Crew,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Baltimore Union Soccer Club,Baltimore Union,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Berwyn Heights Boys and Girls Club,Berwyn Heights And,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Bethesda SC,Bethesda,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Brausa United Futebol Club,Brausa Futebol,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Brazilian United Soccer Academy,Brazilian Academy,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Bury City FC,Bury,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Cecil Soccer League,Cecil League,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Cerritos Soccer Academy,Cerritos Academy,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Coppermine Soccer Club,Coppermine,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
District Elite Football Club,District Elite Football,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Elevate Soccer Academy,Elevate Academy,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
FC Charles 1658,Charles 1658,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
FC Frederick,Frederick,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
FCGB Center of Excellence,Fcgb Center Of Excellence,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
FC USA Soccer Club,Usa,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Go Premier Soccer,Go Premier,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Greater Severna Park Athletic Assoc,Greater Severna Park Athletic Assoc,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Harford FC United,Harford,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Harundale Youth Sports League,Harundale Sports League,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Knights FC Soccer Club,Knights,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Lions Soccer Club,Lions,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Liverpool FC International Academy Maryland,Liverpool International Academy Maryland,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Maryland Bobcats Youth Academy,Maryland Bobcats Academy,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Maryland Independent M.U.S.C.,Maryland Independent M.U..,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Maryland Rush,Maryland Rush,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
Maryland United Football Club,Maryland Football,Maryland State Youth Soccer Association,,Maryland,https://system.gotsport.com/org_event/events/43226/clubs
