club_name,canonical_name,league_name,city,state,source_url,source_type,website
AC Grand Rapids Academy,Grand Rapids Academy,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Alliance FC,Alliance,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Alma PAL Strikers,Alma Pal Strikers,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Ann Arbor United SC,Ann Arbor,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Anthony Wayne United SC,Anthony Wayne,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
AYSO United,Ayso,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Bay Area SA,Bay Area Sa,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
BC Fire SC,Fire,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Blackhawks Sports Club,Blackhawks Sports,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Bloomfield Hills YSL,Bloomfield Hills Ysl,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Bowling Green SC,Bowling Green,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Cap City Athletic 1847,Cap Athletic 1847,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Carpathia Kickers,Carpathia Kickers,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Chaos Soccer,Chaos,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
County Western,County Western,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
DBSS,Dbss,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Detroit Badgers FC,Detroit Badgers,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Detroit City FC,Detroit,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Detroit City FC South Oakland,Detroit South Oakland,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
East Futbol Club,East Futbol,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Eastside FC,Eastside,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Elk Rapids Soccer Club,Elk Rapids,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
Express FC,Express,Michigan State Premier Soccer Program,,MI,https://system.gotsport.com/org_event/events/50611/clubs,,
