club_name,canonical_name,league_name,city,state,source_url,source_type,website
AC Grand Rapids Academy,Grand Rapids Academy,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Ann Arbor United SC,Ann Arbor,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
AYSO United,Ayso,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
BC Fire SC,Fire,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Blackhawks Sports Club,Blackhawks Sports,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Cap City Athletic 1847,Cap Athletic 1847,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Carpathia Kickers,Carpathia Kickers,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Chaos Soccer,Chaos,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
County Western,County Western,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
DBSS,Dbss,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Detroit City FC,Detroit,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Detroit City FC South Oakland,Detroit South Oakland,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
East Futbol Club,East Futbol,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Eastside FC,Eastside,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Elk Rapids Soccer Club,Elk Rapids,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Express FC,Express,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Farmington SC,Farmington,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Force SC,Force,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Fraser SC,Fraser,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Garden City SC,Garden,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Great Lakes Alliance,Great Lakes Alliance,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Holland Rovers FC,Holland Rovers,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Hoverla F.C.,Hoverla .,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Huron S.A.,Huron S.A.,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Kingdom Soccer Club,Kingdom,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Lakeshore Football Club,Lakeshore Football,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Legends FC,Legends,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Lenawee United FC,Lenawee,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Liverpool FC-IA Michigan,Liverpool -Ia Michigan,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Burn,Michigan Burn,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Development Academy,Michigan Development Academy,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Jaguars,Michigan Jaguars,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Power Futbol Academy,Michigan Power Futbol Academy,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Rangers FC,Michigan Rangers,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Rovers Athletic Club,Michigan Rovers Athletic,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Stars Elite SC,Michigan Stars Elite,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Tigers FC,Michigan Tigers,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Wolves,Michigan Wolves,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Michigan Youth Soccer Club,Michigan,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Midland SC,Midland,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Midwest United,Midwest,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Midwest United FC SCOR,Midwest Scor,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Monroe Area S.A.,Monroe Area S.A.,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
MPSA Crush,Mpsa Crush,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
Nationals,Nationals,Michigan State Youth Soccer Association,,Michigan,https://system.gotsport.com/org_event/events/50299/clubs,,
