club_name,canonical_name,league_name,city,state,source_url,source_type,website
American River FC,American River,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Atletico Santa Rosa,Atletico Santa Rosa,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Atletico United FC,Atletico,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Burlingame Soccer Club,Burlingame,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
City SC Kings County,Kings County,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Dixon Leon SC,Dixon Leon,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
El Dorado Hills Soccer Club,El Dorado Hills,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
FC Fresno Academy,Fresno Academy,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Fruitridge Soccer Club,Fruitridge,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Galt Futbol Club,Galt Futbol,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Great Basin Youth Soccer League,Great Basin League,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Lincoln FC,Lincoln,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Napa Soccer Academy,Napa Academy,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Natomas United Youth Soccer,Natomas,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Nevada Futbol Club,Nevada Futbol,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
NINJA West Football Academy,Ninja West Football Academy,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Northern Nevada Soccer Club,Northern Nevada,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Pacific Futbol Club,Pacific Futbol,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Roseville Youth Soccer Club,Roseville,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Sacramento United,Sacramento,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
San Francisco Glens Soccer Club,San Francisco Glens,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
San Juan Soccer Club,San Juan,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Soccer 4 All,4 All,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Stockton TLJ FC,Stockton Tlj,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Valley Surf | America,Valley Surf | America,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
Yuba Elite FC,Yuba Elite,Mid-Atlantic Soccer Association,,,https://system.gotsport.com/org_event/events/47655/clubs,,
