club_name,canonical_name,league_name,city,state,source_url
Albion SC Southern Minnesota,Albion Southern Minnesota,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Arrowhead Youth SA,Arrowhead Sa,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Bloomington United,Bloomington,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Boreal FC,Boreal,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
BV UNITED,Bv,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
CC United Soccer Club,Cc,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Centennial Soccer Club,Centennial,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Cottage Grove United SC,Cottage Grove,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Dakota Fusion Soccer,Dakota Fusion,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Dakota SC,Dakota,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
East Ridge Soccer Club,East Ridge,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Eau Claire United Soccer Club,Eau Claire,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Edina Soccer Club,Edina,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
EPSC,Epsc,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Esko United,Esko,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Force Soccer Club,Force,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Fusion Soccer Club,Fusion,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Gitchi Gummi Soccer Club,Gitchi Gummi,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Great River SC,Great River,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Hermantown Youth Soccer,Hermantown,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
HFC United,Hfc,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Keliix-Intra Soccer Club,Keliix-Intra,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Kickers FC,Kickers,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
KMYSA,Kmysa,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Lakers FC,Lakers,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Lakeville Soccer Club,Lakeville,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Legacy FC,Legacy,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Mahtomedi Soccer Association,Mahtomedi Association,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Manitou FC,Manitou,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Mankato United Soccer Club,Mankato,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
MapleBrook SC,Maplebrook,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Minneapolis United,Minneapolis,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
MN Thunder Academy,Mn Thunder Academy,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
New Prague Area Youth Soccer,New Prague Area,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
New Ulm Area Youth Soccer,New Ulm Area,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
North East United Soccer Club,North East,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
North Iowa Soccer Club,North Iowa,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
North Oaks Soccer Club,North Oaks,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
North Star FC,North Star,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
North United SC,North,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Owatonna SA,Owatonna Sa,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Park Valley United FC,Park Valley,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Prior Lake SC,Prior Lake,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Richfield Soccer Association,Richfield Association,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Salvo SC,Salvo,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Southeast Soccer Club,Southeast,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
St. Croix,St. Croix,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
St. Paul Blackhawks,St. Paul Blackhawks,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Tonka United SA,Tonka Sa,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Waconia SC,Waconia,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Wave SC,Wave,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Western Wisconsin Soccer,Western Wisconsin,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
Winona Euro FC,Winona Euro,Minnesota Youth Soccer Association,,Minnesota,https://system.gotsport.com/org_event/events/38032/clubs
