club_name,canonical_name,league_name,city,state,source_url
St. Louis Scott Gallagher,St. Louis Scott Gallagher,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Lou Fusz Athletic,Lou Fusz Athletic,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
KC Athletics,Kc Athletics,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Kansas City Scott Gallagher,Kansas Scott Gallagher,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
KC Blaze Soccer Club,Kc Blaze,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
AFA Fillies,Afa Fillies,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Ajax St Louis SC,Ajax St Louis,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
JB Marine Soccer Club,Jb Marine,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Kolping Kicks SC,Kolping Kicks,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Missouri Rush,Missouri Rush,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
REAL WC St. Louis Soccer Club,Real Wc St. Louis,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Sporting Springfield,Sporting Springfield,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
St. Louis Development Academy,St. Louis Development Academy,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Unified Legacy FC,Unified Legacy,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Alliance Futbol Club,Alliance Futbol,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
United Capital City,Capital,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Saint Charles Football Club,Saint Charles Football,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Webster Groves Soccer Club,Webster Groves,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Jaguar FC,Jaguar,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
Kansas City Soccer Club,Kansas,Missouri Youth Soccer Association,,Missouri,https://www.google.com/maps/d/kml?forcekml=1&mid=1XP_u-ZpHdZHHLkIFX3JgTKOB9IlhxsA
