club_name,canonical_name,league_name,city,state,source_url,source_type,website
AC River,River,MLS NEXT,San Antonio,TX,https://www.mlsnextsoccer.com/clubs,,
Achilles FC,Achilles,MLS NEXT,Silver Spring,MD,https://www.mlsnextsoccer.com/clubs,,
AFC Lightning,Lightning,MLS NEXT,Peachtree City,GA,https://www.mlsnextsoccer.com/clubs,,
Albion SC Las Vegas,Albion Las Vegas,MLS NEXT,Las Vegas,NV,https://www.mlsnextsoccer.com/clubs,,
Albion SC Merced,Albion Merced,MLS NEXT,Merced,CA,https://www.mlsnextsoccer.com/clubs,,
Albion SC San Diego,Albion San Diego,MLS NEXT,San Diego,CA,https://www.mlsnextsoccer.com/clubs,,
Alexandria SA,Alexandria Sa,MLS NEXT,Alexandria,VA,https://www.mlsnextsoccer.com/clubs,,
ASG FC,Asg,MLS NEXT,Tallahassee,FL,https://www.mlsnextsoccer.com/clubs,,
Athletum FC,Athletum,MLS NEXT,Hialeah,FL,https://www.mlsnextsoccer.com/clubs,,
Atlanta United FC Academy,Atlanta Academy,MLS NEXT,Marietta,GA,https://www.mlsnextsoccer.com/clubs,,
Atletico Santa Rosa,Atletico Santa Rosa,MLS NEXT,Santa Rosa,CA,https://www.mlsnextsoccer.com/clubs,,
Austin FC Academy,Austin Academy,MLS NEXT,Austin,TX,https://www.mlsnextsoccer.com/clubs,,
Ballistic United,Ballistic,MLS NEXT,Pleasanton,CA,https://www.mlsnextsoccer.com/clubs,,
Baltimore Armour,Baltimore Armour,MLS NEXT,Ellicott City,MD,https://www.mlsnextsoccer.com/clubs,,
Barca Residency Academy,Barca Residency Academy,MLS NEXT,Casa Grande,AZ,https://www.mlsnextsoccer.com/clubs,,
Bavarian United SC,Bavarian,MLS NEXT,Glendale,WI,https://www.mlsnextsoccer.com/clubs,,
Bayside FC,Bayside,MLS NEXT,East Providence,RI,https://www.mlsnextsoccer.com/clubs,,
Beachside of Connecticut,Beachside Of Connecticut,MLS NEXT,Norwalk,CT,https://www.mlsnextsoccer.com/clubs,,
Beadling Soccer Club,Beadling,MLS NEXT,Pittsburgh,PA,https://www.mlsnextsoccer.com/clubs,,
Bethesda Soccer Club,Bethesda,MLS NEXT,North Potomac,MD,https://www.mlsnextsoccer.com/clubs,,
