club_name,canonical_name,league_name,city,state,source_url,source_type,website
Amend Park Development Council,Amend Park Development Council,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Bigfork Soccer Club,Bigfork,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Big Sky Futbol Club,Big Sky Futbol,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Billings Wolves,Billings Wolves,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Black Hills Rapids SC,Black Hills Rapids,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Clark Fork Soccer Alliance,Clark Fork Alliance,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Flathead Rapids,Flathead Rapids,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Flathead Valley United SC,Flathead Valley,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Football Club Frenchtown,Football Frenchtown,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Gallatin Elite Soccer Club,Gallatin Elite,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Helena Youth Soccer Association,Helena Association,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Hi-Line United,Hi-Line,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Kootenai Rapids,Kootenai Rapids,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Laurel Storm,Laurel Storm,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Lewistown Soccer Club,Lewistown,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Livingston YSA,Livingston Ysa,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
MC Posse,Mc Posse,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Mining City FC,Mining,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Montana Rush Soccer Club,Montana Rush,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Montana Surf,Montana Surf,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Pikuni Soccer Club,Pikuni,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Polson FC,Polson,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Queen City Football Club (MT),Queen Football,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Real Billings FC,Real Billings,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Red Lodge Soccer,Red Lodge,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Stevensville Sabres,Stevensville Sabres,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
Strikers FC,Strikers,Montana Youth Soccer Association,,Montana,https://system.gotsport.com/org_event/events/40682/clubs,,
