club_name,canonical_name,league_name,city,state,source_url,source_type,website
702 Footy Foundation,702 Footy Foundation,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
ALBION SC Las Vegas,Albion Las Vegas,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
AYSO United - Las Vegas,Ayso - Las Vegas,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
BVB IA Las Vegas,Bvb Ia Las Vegas,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Downtown Las Vegas SC,Downtown Las Vegas,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Juventus Academy Las Vegas,Juventus Academy Las Vegas,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Lady Rebels SC,Lady Rebels,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Las Vegas Diversity FC,Las Vegas Diversity,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Las Vegas Eliminators FC,Las Vegas Eliminators,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Las Vegas Elite FC,Las Vegas Elite,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Las Vegas Soccer School,Las Vegas School,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Las Vegas Sports Academy,Las Vegas Sports Academy,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
LV Arsenal,Lv Arsenal,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
LV Heat Surf SC,Lv Heat Surf,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Nevada Rush,Nevada Rush,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Players SC,Players,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
PRIME Soccer Club,Prime,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Rayados Las Vegas Soccer Academy,Rayados Las Vegas Academy,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
ROA Soccer Academy,Roa Academy,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Sporting Nevada USA Magnifico,Sporting Nevada Usa Magnifico,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Vegas Strong SC,Vegas Strong,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Vegas United Soccer Club,Vegas,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
Villarreal Las Vegas Academy,Villarreal Las Vegas Academy,Nevada Youth Soccer Association,,Nevada,https://system.gotsport.com/org_event/events/50983/clubs,,
