club_name,canonical_name,league_name,city,state,source_url,source_type,website
Auburn Soccer Club,Auburn,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Become Elite Soccer,Become Elite,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Bedford Athletic Club,Bedford Athletic,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Bow Soccer Club,Bow,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Candia FC,Candia,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
ConVal Soccer Club,Conval,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Derry Soccer Club,Derry,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Exeter Youth Soccer Association - FC Exeter,Exeter Association - Exeter,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
FC Maine Rise,Maine Rise,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
FC Stars,Stars,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Fremont FC,Fremont,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Garrison City FC,Garrison,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Goffstown United Soccer Club,Goffstown,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Green Lions FC,Green Lions,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Hampshire United SC,Hampshire,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Hollis/Brookline Cavalier SC,Hollis/Brookline Cavalier,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Hooksett YAA,Hooksett Yaa,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Hudson United SC,Hudson,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
International Soccer Club,International,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
John Stark United SC,John Stark,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Kittery SC,Kittery,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Lakes Region United SC,Lakes Region,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
LHIFA,Lhifa,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Lightning SC,Lightning,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Litchfield SC,Litchfield,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Londonderry Soccer Club,Londonderry,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Loudon Freedom Soccer Club,Loudon Freedom,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Manchester Lightning,Manchester Lightning,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Merrimack Valley Youth Soccer,Merrimack Valley,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Merrimack Youth Soccer,Merrimack,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Mount Washington Valley SC,Mount Washington Valley,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Nashua Youth Soccer League,Nashua League,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
New Ipswich,New Ipswich,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Newmarket Youth Soccer Assoc,Newmarket Assoc,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Northern Strikers SC,Northern Strikers,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
North Hampton SC,North Hampton,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Oyster River United,Oyster River,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Pelham NH Soccer Club,Pelham Nh,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Pemi-Baker Soccer Club,Pemi-Baker,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Portsmouth City SC,Portsmouth,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Queen City Football Club,Queen Football,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Raymond Soccer Club,Raymond,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Revolution United FC,Revolution,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Rochester Y.S.A.,Rochester Y.S.A.,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
ROSO Soccer Club,Roso,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Salem Y.S.A.,Salem Y.S.A.,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Seacoast of Bedford,Seacoast Of Bedford,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Suncook Youth Soccer Assoc.,Suncook Assoc.,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Tazmanian Devils Futbol Club,Tazmanian Devils Futbol,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
The Fieldhouse at Homestead Mills,The Fieldhouse At Homestead Mills,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
The Outing Club,The Outing,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Timberwolves SC,Timberwolves,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Warriors FC-Hampton Youth Association,Warriors -Hampton Association,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Wells Soccer Club,Wells,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
Windham Soccer Association,Windham Association,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
York Soccer Club,York,New Hampshire Soccer Association,,New Hampshire,https://system.gotsport.com/org_event/events/42251/clubs,,
