club_name,canonical_name,league_name,city,state,source_url,source_type,website
Cupertino FC,Cupertino,NorCal NPL,Cupertino,CA,https://norcalpremier.com/clubs/,,
Davis Legacy Soccer Club,Davis Legacy,NorCal NPL,Davis,CA,https://norcalpremier.com/clubs/,,
Black Oaks Youth Soccer Club,Black Oaks,NorCal NPL,Santa Rosa,CA,https://norcalpremier.com/clubs/,,
Santa Rosa City SC,Santa Rosa,NorCal NPL,Santa Rosa,CA,https://norcalpremier.com/clubs/,,
PAC San Jose,Pac San Jose,NorCal NPL,SAN JOSE,CA,https://norcalpremier.com/clubs/,,
Del Campo Youth Soccer Club,Del Campo,NorCal NPL,Fair Oaks,CA,https://norcalpremier.com/clubs/,,
Cruizers Academy,Cruizers Academy,NorCal NPL,Modesto,CA,https://norcalpremier.com/clubs/,,
Ceres Rush,Ceres Rush,NorCal NPL,Ceres,CA,https://norcalpremier.com/clubs/,,
South Tahoe FC,South Tahoe,NorCal NPL,South Lake Tahoe,CA,https://norcalpremier.com/clubs/,,
Sierra Nevada FC,Sierra Nevada,NorCal NPL,Reno,CA,https://norcalpremier.com/clubs/,,
Sierra Surf SC,Sierra Surf,NorCal NPL,Reno,CA,https://norcalpremier.com/clubs/,,
Truckee River United FC,Truckee River,NorCal NPL,Truckee,CA,https://norcalpremier.com/clubs/,,
Reno APEX Soccer Club,Reno Apex,NorCal NPL,Reno,CA,https://norcalpremier.com/clubs/,,
Kerman Revolution Soccer,Kerman Revolution,NorCal NPL,Kerman,CA,https://norcalpremier.com/clubs/,,
San Francisco Vikings Soccer Club,San Francisco Vikings,NorCal NPL,San Francisco,CA,https://norcalpremier.com/clubs/,,
De Anza Force,De Anza Force,NorCal NPL,Cupertino,CA,https://norcalpremier.com/clubs/,,
Sierra Gold Soccer Club,Sierra Gold,NorCal NPL,Placerville,CA,https://norcalpremier.com/clubs/,,
Stanislaus United,Stanislaus,NorCal NPL,Modesto,CA,https://norcalpremier.com/clubs/,,
El Dorado Hills Soccer Club,El Dorado Hills,NorCal NPL,El Dorado Hills,CA,https://norcalpremier.com/clubs/,,
Turlock Academica Jrs,Turlock Academica Jrs,NorCal NPL,Turlock,CA,https://norcalpremier.com/clubs/,,
