club_name,canonical_name,league_name,city,state,source_url,source_type,website
Cupertino FC,Cupertino,NorCal Premier Soccer,Cupertino,CA,https://norcalpremier.com/clubs/,,
Davis Legacy Soccer Club,Davis Legacy,NorCal Premier Soccer,Davis,CA,https://norcalpremier.com/clubs/,,
Black Oaks Youth Soccer Club,Black Oaks,NorCal Premier Soccer,Santa Rosa,CA,https://norcalpremier.com/clubs/,,
Santa Rosa City SC,Santa Rosa,NorCal Premier Soccer,Santa Rosa,CA,https://norcalpremier.com/clubs/,,
PAC San Jose,Pac San Jose,NorCal Premier Soccer,SAN JOSE,CA,https://norcalpremier.com/clubs/,,
Del Campo Youth Soccer Club,Del Campo,NorCal Premier Soccer,Fair Oaks,CA,https://norcalpremier.com/clubs/,,
Cruizers Academy,Cruizers Academy,NorCal Premier Soccer,Modesto,CA,https://norcalpremier.com/clubs/,,
Ceres Rush,Ceres Rush,NorCal Premier Soccer,Ceres,CA,https://norcalpremier.com/clubs/,,
South Tahoe FC,South Tahoe,NorCal Premier Soccer,South Lake Tahoe,CA,https://norcalpremier.com/clubs/,,
Sierra Nevada FC,Sierra Nevada,NorCal Premier Soccer,Reno,CA,https://norcalpremier.com/clubs/,,
Sierra Surf SC,Sierra Surf,NorCal Premier Soccer,Reno,CA,https://norcalpremier.com/clubs/,,
Truckee River United FC,Truckee River,NorCal Premier Soccer,Truckee,CA,https://norcalpremier.com/clubs/,,
Reno APEX Soccer Club,Reno Apex,NorCal Premier Soccer,Reno,CA,https://norcalpremier.com/clubs/,,
Kerman Revolution Soccer,Kerman Revolution,NorCal Premier Soccer,Kerman,CA,https://norcalpremier.com/clubs/,,
San Francisco Vikings Soccer Club,San Francisco Vikings,NorCal Premier Soccer,San Francisco,CA,https://norcalpremier.com/clubs/,,
De Anza Force,De Anza Force,NorCal Premier Soccer,Cupertino,CA,https://norcalpremier.com/clubs/,,
Sierra Gold Soccer Club,Sierra Gold,NorCal Premier Soccer,Placerville,CA,https://norcalpremier.com/clubs/,,
Stanislaus United,Stanislaus,NorCal Premier Soccer,Modesto,CA,https://norcalpremier.com/clubs/,,
El Dorado Hills Soccer Club,El Dorado Hills,NorCal Premier Soccer,El Dorado Hills,CA,https://norcalpremier.com/clubs/,,
Turlock Academica Jrs,Turlock Academica Jrs,NorCal Premier Soccer,Turlock,CA,https://norcalpremier.com/clubs/,,
Azzurri FC,Azzurri,NorCal Premier Soccer,Yuba City,CA,https://norcalpremier.com/clubs/,,
California Odyssey Soccer Club,California Odyssey,NorCal Premier Soccer,Clovis,CA,https://norcalpremier.com/clubs/,,
Chico Cal Soccer Club,Chico Cal,NorCal Premier Soccer,Chico,CA,https://norcalpremier.com/clubs/,,
Elk Grove United SC,Elk Grove,NorCal Premier Soccer,Elk Grove,CA,https://norcalpremier.com/clubs/,,
Football Club Alliance,Football Alliance,NorCal Premier Soccer,El Sobrante,CA,https://norcalpremier.com/clubs/,,
JSC Soccer Club,Jsc,NorCal Premier Soccer,Redwood City,CA,https://norcalpremier.com/clubs/,,
Monterey County Soccer-ECFC Salinas,Monterey County -Ecfc Salinas,NorCal Premier Soccer,Salinas,CA,https://norcalpremier.com/clubs/,,
Oakland Soccer Club,Oakland,NorCal Premier Soccer,Oakland,CA,https://norcalpremier.com/clubs/,,
Placer United Soccer Club,Placer,NorCal Premier Soccer,Rocklin,CA,https://norcalpremier.com/clubs/,,
San Carlos United Soccer Club,San Carlos,NorCal Premier Soccer,San Carlos,CA,https://norcalpremier.com/clubs/,,
Legends FC (SJ),Legends,NorCal Premier Soccer,San Jose,CA,https://norcalpremier.com/clubs/,,
Sonoma Valley United,Sonoma Valley,NorCal Premier Soccer,Sonoma,CA,https://norcalpremier.com/clubs/,,
Tiburon Peninsula Soccer Club,Tiburon Peninsula,NorCal Premier Soccer,Tiburon,CA,https://norcalpremier.com/clubs/,,
PSV Union FC Academy,Psv Union Academy,NorCal Premier Soccer,Palo Alto,CA,https://norcalpremier.com/clubs/,,
San Francisco Seals,San Francisco Seals,NorCal Premier Soccer,San Francisco,CA,https://norcalpremier.com/clubs/,,
Vacaville United Soccer Club,Vacaville,NorCal Premier Soccer,Vacaville,CA,https://norcalpremier.com/clubs/,,
