club_name,canonical_name,league_name,city,state,source_url
Acadia Fire FC,Acadia Fire,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
AC Independence,Independence,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
America FC United,America,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
AS Brossard,As Brossard,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Atlantic United SB/LGN SC,Atlantic Sb/Lgn,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Bayside FC,Bayside,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Best FC,Best,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Boston Vigor FC,Boston Vigor,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Brooklyn United Academy,Brooklyn Academy,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
BWP Albany,Bwp Albany,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Cambridge City FC,Cambridge,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Capital Elite FC,Capital Elite,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Capital SC,Capital,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Cedar Stars Academy - Monmouth,Cedar Stars Academy - Monmouth,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Central Maine United,Central Maine,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
CFC North,Cfc North,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Chelsea Piers SC,Chelsea Piers,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Commack Soccer,Commack,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
Commonwealth Football Club,Commonwealth Football,North Carolina Youth Soccer Association,,North Carolina,https://system.gotsport.com/org_event/events/48392/clubs
