club_name,canonical_name,league_name,city,state,source_url
Alacranes FC,Alacranes,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Amarillo Rush SC,Amarillo Rush,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Americas Futbol Club,Americas Futbol,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Arlington SA,Arlington Sa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Athletic Dallas Soccer Club,Athletic Dallas,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Avanti Soccer Academy,Avanti Academy,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Aztecas Futbol Club,Aztecas Futbol,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Barcelona SC,Barcelona,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
BVB International Academy Texas,Bvb International Academy Texas,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Cabosa Shreveport United,Cabosa Shreveport,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Centex Soccer Association,Centex Association,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Centex Storm Soccer Club,Centex Storm,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Charros FC,Charros,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Crusaders FC,Crusaders,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Dallas Surf,Dallas Surf,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Dallas Texans,Dallas Texans,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Desert FC - Odessa,Desert - Odessa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
DKSC,Dksc,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Drifters FC,Drifters,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Eagle Mountain SA,Eagle Mountain Sa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
East Texas United SC,East Texas,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Falls Town FC,Falls,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
FC Cowboys,Cowboys,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
FC Dallas ETX,Dallas Etx,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
FC Dallas High Plains,Dallas High Plains,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
FC Dallas Youth,Dallas,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
FC Forney,Forney,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Fever United,Fever,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Fire FC,Fire,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Fortress FC,Fortress,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Fort Worth All Stars FC,Fort Worth All Stars,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Fort Worth Vaqueros FC,Fort Worth Vaqueros,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Fuego FC,Fuego,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
FW International FC,Fw International,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
FWYSA,Fwysa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Hornets FC,Hornets,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Hurst United SA,Hurst Sa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Independent Teams - NTX,Independent Teams - Ntx,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Independent Wichita Falls FC,Independent Wichita Falls,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Invictus SC,Invictus,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Juventus Premier  FC,Juventus Premier,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Juventus Premier Futbol Club,Juventus Premier Futbol,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Kernow Storm FC,Kernow Storm,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Lubbock Cruz Azul SC,Lubbock Cruz Azul,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Mansfield FC,Mansfield,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Metro West SC,Metro West,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Mid Cities Tejanos,Mid Cities Tejanos,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Midlothian Premier FC,Midlothian Premier,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Mineral Wells Soccer,Mineral Wells,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Mustang YSA,Mustang Ysa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
North Fort Worth Alliance SA,North Fort Worth Alliance Sa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
NTX Celtic FC,Ntx Celtic,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
NTX United FC,Ntx,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
ORION FC,Orion,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Paris Saint-Germain Academy DFW,Paris Saint-Germain Academy Dfw,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Pumas SC NTX,Pumas Ntx,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Rayos FC,Rayos,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Real GP,Real Gp,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Revolution FC LBK,Revolution Lbk,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
San Angelo Extreme FC,San Angelo Extreme,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Santos Laguna Dallas,Santos Laguna Dallas,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Solar SC,Solar,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
South Lakes SC,South Lakes,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Steel United Texas,Steel Texas,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Stephenville SA,Stephenville Sa,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Sting Soccer Club,Sting,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
TAG Soccer,Tag,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Texarkana Soccer Club,Texarkana,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Texas Lightning Soccer Club,Texas Lightning,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Texas Spurs,Texas Spurs,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Texoma Football Club,Texoma Football,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
TOKA FUTBOL CLUB,Toka Futbol,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Valor FC,Valor,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Victory SC,Victory,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
W.F. Roadrunners FC,W.F. Roadrunners,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
WFSC,Wfsc,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
Wise United FC,Wise,North Texas State Soccer Association,,North Texas,https://system.gotsport.com/org_event/events/39057/clubs
