club_name,canonical_name,league_name,city,state,source_url
Barcelona United,Barcelona,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Cincinnati United,Cincinnati,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Cincinnati West,Cincinnati West,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Cincy SC,Cincy,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Club Ohio,Ohio,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
FC Storm,Storm,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Green SA,Green Sa,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Kings United FC,Kings,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Mike FC,Mike,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Perrysburg SC,Perrysburg,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Team Challenger FC South,Team Challenger South,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Toledo Celtics,Toledo Celtics,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/44770/clubs
Academia De Futbol Ole,Academia De Futbol Ole,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Alliance Cincinnati SC,Alliance Cincinnati,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Bellbrook Soccer Association,Bellbrook Association,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Bethel Area Youth Soccer Association,Bethel Area Association,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Big Cat SC,Big Cat,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Botkins SC,Botkins,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Butler Fury Soccer Club,Butler Fury,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Butler United SC,Butler,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Campbell Soccer Club (CSC),Campbell,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Champaign Dynamo SC,Champaign Dynamo,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Chaos FC,Chaos,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Cincinnati Elite FC,Cincinnati Elite,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Cincy Galaxy SC,Cincy Galaxy,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Club X Soccer,X,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Confluence SC,Confluence,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Dayton Futbol Academy,Dayton Futbol Academy,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Dayton Kroc SC,Dayton Kroc,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Dayton Players Academy Cobras,Dayton Players Academy Cobras,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Dayton Titans,Dayton Titans,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Eclipse FC,Eclipse,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Elite FC,Elite,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Fairfield Optimist Soccer Club,Fairfield Optimist,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
FC Dayton,Dayton,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
FC Ripley,Ripley,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
First Capital FC,First Capital,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Freedom Soccer Club,Freedom,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Fusion FC NKY,Fusion Nky,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Greene County Cosmos,Greene County Cosmos,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
GTFC Impact,Gtfc Impact,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Hancock Fusion,Hancock Fusion,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Hoosier Futbol Club,Hoosier Futbol,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Independence SC,Independence,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Inner Cincinnati SA,Inner Cincinnati Sa,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
ISC Storm,Isc Storm,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Kings Hammer Soccer Club,Kings Hammer,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Kolping SC,Kolping,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Lakota Futbol Club,Lakota Futbol,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Lawrenceburg Greendale Soccer Club,Lawrenceburg Greendale,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Lexington Sporting,Lexington Sporting,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Little Miami FC,Little Miami,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Madeira FC,Madeira,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Manu Ledesma Academy,Manu Ledesma Academy,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Marauders Premier Football Club,Marauders Premier Football,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Mercury,Mercury,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Miami County FC,Miami County,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Monroe Premier FC,Monroe Premier,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Northern Alliance SC,Northern Alliance,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Northwest Cincy Soccer Coalition,Northwest Cincy Coalition,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
NWC Alliance Soccer Club,Nwc Alliance,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
Oak Hills Youth Athletics,Oak Hills Athletics,Ohio Soccer Association,,Ohio,https://system.gotsport.com/org_event/events/49162/clubs
