club_name,canonical_name,league_name,city,state,source_url,source_type,website
Broken Arrow Soccer Club,Broken Arrow,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Chisholm Trail SA,Chisholm Trail Sa,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Choctaw SA (CNP),Choctaw Sa,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Claremore SC,Claremore,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Edmond SC,Edmond,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Elevate FC,Elevate,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
ELGIN FUTBOL CLUB (E.F.C.),Elgin Futbol,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Elk City SC,Elk,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
El Reno SC,El Reno,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Enid SC,Enid,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
FC Dallas High Plains,Dallas High Plains,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
FC Tulsa Academy,Tulsa Academy,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Ft Gibson SC,Ft Gibson,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Harrah SC,Harrah,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Lawton SC,Lawton,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Midwest City SC,Midwest,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Mustang YSA,Mustang Ysa,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
NE Oklahoma FC,Ne Oklahoma,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
North OKC SC,North Okc,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Northwest Alliance FC,Northwest Alliance,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Northwest Optimist SC,Northwest Optimist,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Northwest Soccer Club,Northwest,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
OKC 405 FC,Okc 405,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Oklahoma Celtic,Oklahoma Celtic,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Oklahoma Energy FC,Oklahoma Energy,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Ponca City SA,Ponca Sa,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Porter SC,Porter,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
SOUTHWEST KANSAS,Southwest Kansas,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Sporting Oklahoma,Sporting Oklahoma,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Stillwater SC,Stillwater,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Tulsa Soccer Club,Tulsa,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Union FC Tulsa,Union Tulsa,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Union SC,Union,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Weatherford SC,Weatherford,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Western Oklahoma FC,Western Oklahoma,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
West Side Alliance SC,West Side Alliance,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Yukon SC,Yukon,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/45220/clubs,,
Sporting Arkansas,Sporting Arkansas,Oklahoma Soccer Association,,Oklahoma,https://system.gotsport.com/org_event/events/50535/clubs,,
