club_name,canonical_name,league_name,city,state,source_url
AC United,,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Allentown Youth SC,Allentown,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Anderson Monarch SC,Anderson Monarch,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Bensalem Soccer Academy,Bensalem Academy,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Bethlehem SC,Bethlehem,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Boyertown SC,Boyertown,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Bristol Soccer Club,Bristol,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Buckingham United Soccer Club (CBAA),Buckingham,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Catasauqua Youth SA,Catasauqua Sa,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Cheltenham Jayvees,Cheltenham Jayvees,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Chestnut Hill Youth Sports Club,Chestnut Hill Sports,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Colonial SC,Colonial,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Council Rock United,Council Rock,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Coventry SA,Coventry Sa,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Deep Run Valley,Deep Run Valley,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Dynamo United,Dynamo,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
East Allen Soccer Club,East Allen,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
ENCO United Soccer Club,Enco,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Evergreen Youth Soccer Club,Evergreen,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Falls SC,Falls,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
FC DELCO,Delco,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
FC Pocono,Pocono,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Fever SC,Fever,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
Fishtown AC,Fishtown,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
FMFooty,Fmfooty,Pennsylvania West Soccer Association,,PA West,https://system.gotsport.com/org_event/events/49186/clubs
