club_name,canonical_name,league_name,city,state,source_url,source_type,website
1974 Newark FC,1974 Newark,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Arizona Arsenal,Arizona Arsenal,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Association FC,Association,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Avanti SA,Avanti Sa,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
BVBIA,Bvbia,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Baltimore Celtic,Baltimore Celtic,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Beach FC,Beach,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Bloomingdale Lightning FC,Bloomingdale Lightning,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
CCV Stars,Ccv Stars,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
COSC,Cosc,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Canton Force - CAU Force,Canton Force - Cau Force,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Chicago City SC,Chicago,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Chicago Inter,Chicago Inter,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Chicago Magic,Chicago Magic,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Club Ohio,Ohio,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Connecticut FC,Connecticut,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Crystal Lake Force,Crystal Lake Force,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
DKSC,Dksc,Pre-ECNL Boys,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
