club_name,canonical_name,league_name,city,state,source_url,source_type,website
Albany Alleycats,Albany Alleycats,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Arkansas Rising,Arkansas Rising,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Avanti SA,Avanti Sa,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
BVBIA,Bvbia,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Bethesda SC,Bethesda,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
CFC North,Cfc North,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
CFC South,Cfc South,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Chicago Inter,Chicago Inter,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Connecticut FC,Connecticut,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
DKSC,Dksc,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Dallas Surf,Dallas Surf,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Dallas Texans,Dallas Texans,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
East Meadow SC,East Meadow,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Evolution SC Mercurial,Evolution Mercurial,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC DELCO,Delco,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Dallas,Dallas,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Pride Elite,Pride Elite,Pre-ECNL Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
