club_name,canonical_name,league_name,city,state,source_url,source_type,website
AC Connecticut,Connecticut,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
AFA Fillies,Afa Fillies,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Albany Alleycats,Albany Alleycats,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Arkansas Comets FC,Arkansas Comets,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Arkansas Rising,Arkansas Rising,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Atletico Dallas Youth,Atletico Dallas,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
AtlÃ©tico Dallas Youth,Atlã©Tico Dallas,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
BVBIA,Bvbia,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Bethesda SC,Bethesda,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
CFC North,Cfc North,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
CT Rush Select,Ct Rush Select,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Cap City Athletic 1847,Cap Athletic 1847,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Cape Coral SA,Cape Coral Sa,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Chicago Inter Soccer,Chicago Inter,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Connecticut FC Legacy,Connecticut Legacy,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
DKSC,Dksc,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Dallas Cosmos SC,Dallas Cosmos,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Dallas Texans,Dallas Texans,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Davie United SC,Davie,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Detroit City FC West,Detroit West,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
East Coast Surf SC,East Coast Surf,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
East Meadow SC,East Meadow,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Eclipse Select SC,Eclipse Select,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
Evolution SC Mercurial,Evolution Mercurial,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC 1974 Libertyville,1974 Libertyville,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC DELCO,Delco,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Dallas,Dallas,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Europa,Europa,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Pride Elite,Pride Elite,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Prime,Prime,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Prime Miami,Prime Miami,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
FC Stars Blue,Stars Blue,Pre-ECNL North Girls,,,https://theecnl.com/sports/2024/11/12/Directory_1112240348.aspx,,
