club_name,canonical_name,league_name,city,state,source_url
"Due to scheduled maintenance from 8 pm on Friday, April 10 to 4 am on Saturday, April 11 online resources may experience intermittent service disruptions. We apologize for any inconvenience.Read moreClose message 1 of 1","Due To Scheduled Maintenance From 8 Pm On Friday, April 10 To 4 Am On Saturday, April 11 Online Resources May Experience Intermittent Service Disruptions. We Apologize For Any Inconvenience.Read Moreclose Message 1 Of 1",SCCL,,,https://www.sccl.org/
"View item 1, selected","View Item 1, Selected",SCCL,,,https://www.sccl.org/
View item 2,View Item 2,SCCL,,,https://www.sccl.org/
Adults,Adults,SCCL,,,https://www.sccl.org/
Kids,Kids,SCCL,,,https://www.sccl.org/
Teens,Teens,SCCL,,,https://www.sccl.org/
English as a Second Language,English As A Second Language,SCCL,,,https://www.sccl.org/
Self-Improvement,Self-Improvement,SCCL,,,https://www.sccl.org/
Older Adults,Older Adults,SCCL,,,https://www.sccl.org/
JPA Agenda and Minutes,Jpa Agenda And Minutes,SCCL,,,https://www.sccl.org/
Get a Card,Get A Card,SCCL,,,https://www.sccl.org/
Suggest a Purchase,Suggest A Purchase,SCCL,,,https://www.sccl.org/
"Get Our Newsletter, opens a new window","Get Our Newsletter, Opens A New Window",SCCL,,,https://www.sccl.org/
