club_name,canonical_name,league_name,city,state,source_url,source_type,website
Carolina Football Club,Carolina Football,SincSports - Appalachian Highlands Spring Cup,,SC,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Transylvania YSA (TYSA)/Ecusta FC,Transylvania Ysa /Ecusta,SincSports - Appalachian Highlands Spring Cup,,NC,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
FC Alliance (TN),Alliance,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
FC Alliance North,Alliance North,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
FC National (TN),National,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
East River Soccer Assn (WV),East River Assn,SincSports - Appalachian Highlands Spring Cup,,WV,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Vitesse Soccer,Vitesse,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Chattanooga Red Wolves Academy,Chattanooga Red Wolves Academy,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Waxhaw Athletic Association (WAA),Waxhaw Athletic Association,SincSports - Appalachian Highlands Spring Cup,,NC,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Johnson City Futbol Club,Johnson Futbol,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
One Knoxville YC,One Knoxville Yc,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Tri-Cities United (TCU),Tri-Cities,SincSports - Appalachian Highlands Spring Cup,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Lexington SA,Lexington Sa,SincSports - Appalachian Highlands Spring Cup,,SC,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Salem Sabres FC,Salem Sabres,SincSports - Appalachian Highlands Spring Cup,,VA,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
North Carolina FC Youth (NCFCY),North Carolina,SincSports - Appalachian Highlands Spring Cup,,NC,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
Display SettingsSelect the options that you'd like to display on the team list pageWhich teams should be displayed to the public?SchedulesEdit SelectionAdditional Diplay options:Default Division:-AdultU19U18U17U16U15U14U13U12U11U10U09U08U07U06U05U04-BoysGirlsCo EdUSA RankPicturesSeedClubStateTeam LinkPreviewNeededStatusVenuesNationalsRequestTeam Sort:Sort by Team NameSort by SeedSort by USA RankDivision Sort:Sort by AgeSort by GenderVenues through:4/18/20264/19/202612/31/2399Advanced Sort:,Display Settingsselect The Options That You'D Like To Display On The Team List Pagewhich Teams Should Be Displayed To The Public?Schedulesedit Selectionadditional Diplay Options:Default Division:-Adultu19U18U17U16U15U14U13U12U11U10U09U08U07U06U05U04-Boysgirlsco Edusa Rankpicturesseedclubstateteam Linkpreviewneededstatusvenuesnationalsrequestteam Sort:Sort By Team Namesort By Seedsort By Usa Rankdivision Sort:Sort By Agesort By Gendervenues Through:4/18/20264/19/202612/31/2399Advanced Sort:,SincSports - Appalachian Highlands Spring Cup,,,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
SINC Content Manager,Sinc Content Manager,SincSports - Appalachian Highlands Spring Cup,,,https://soccer.sincsports.com/TTTeamList.aspx?tid=APPHIGHSC,sincsports,
