club_name,canonical_name,league_name,city,state,source_url,source_type,website
Alabama FC,Alabama,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Auburn Soccer Club (AL),Auburn,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Hattiesburg Futbol Club,Hattiesburg Futbol,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
PBFC Rush,Pbfc Rush,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Pensacola FC Rush,Pensacola Rush,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Bayside Rush,Bayside Rush,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Covington Youth Soccer Association,Covington Association,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Louisiana Fire,Louisiana Fire,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Navarre United FC,Navarre,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Rankin Soccer Club,Rankin,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Alliance Futbol Club (MS),Alliance Futbol,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Southern States Soccer,Southern States,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Chivas FC Fort Walton Beach,Chivas Fort Walton Beach,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Gulf Breeze Futbol Academy,Gulf Breeze Futbol Academy,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Gulf Coast United FC,Gulf Coast,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
NUFC,Nufc,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Sporting West Florida,Sporting West Florida,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Fairhope Soccer Club,Fairhope,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Slidell Youth Soccer Club (LA),Slidell,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Mobile United Rush FC,Mobile Rush,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Covington FC,Covington,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
GulfSouth Soccer Club,Gulfsouth,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
South Mississippi SC (SMSC),South Mississippi,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Baldwin Rush,Baldwin Rush,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Kings Hammer Bay United (KHBU),Kings Hammer Bay,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Rip City Surf,Rip Surf,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Bayou Soccer Club (BSC),Bayou,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Mandeville Soccer Club,Mandeville,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Ascension Flight Soccer Club,Ascension Flight,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Chelsea Soccer Association,Chelsea Association,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Emerald Coast Rush,Emerald Coast Rush,SincSports - Coastal Soccer Invitational,,FL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Mississippi Rush,Mississippi Rush,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
International Futbol Club of MS,International Futbol Of Ms,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Saraland Soccer Academy,Saraland Academy,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Madisonville United,Madisonville,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Jefferson Parish Soccer Acad (JPSA),Jefferson Parish Acad,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Greenville Youth Soccer Association,Greenville Association,SincSports - Coastal Soccer Invitational,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
CFC,Cfc,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Dallas Texans,Dallas Texans,SincSports - Coastal Soccer Invitational,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
JPSA,Jpsa,SincSports - Coastal Soccer Invitational,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
Central Baldwin Futbol Club,Central Baldwin Futbol,SincSports - Coastal Soccer Invitational,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=GULFC,sincsports,
