club_name,canonical_name,league_name,city,state,source_url,source_type,website
Springville Youth Soccer Assn,Springville Assn,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Auburn Soccer Club (AL),Auburn,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Hoover Soccer Club,Hoover,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Homewood Soccer Club (AL),Homewood,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Trussville United SC   (TUSC),Trussville,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Cottontown United Soccer Club,Cottontown,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Vestavia Hills Soccer Club,Vestavia Hills,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Gardendale SC    (GSC),Gardendale,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Birmingham United SA  (BUSA),Birmingham Sa,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Pell City Futbol Club,Pell Futbol,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Smiths Station United SA / SUFC,Smiths Station Sa / Sufc,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Tuscaloosa United SC    (TUSC),Tuscaloosa,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
FC Montgomery,Montgomery,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Total Futbol Club (AL),Total Futbol,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Prattville United FC,Prattville,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Rankin Soccer Club,Rankin,SincSports - Hoover Havoc,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Purple Rain SC,Purple Rain,SincSports - Hoover Havoc,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
MB Thunder,Mb Thunder,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Briarwood SC,Briarwood,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Alabama FC,Alabama,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Southern Alliance SC (SASC),Southern Alliance,SincSports - Hoover Havoc,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Alliance Futbol Club (MS),Alliance Futbol,SincSports - Hoover Havoc,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
AYSO United Alabama,Ayso Alabama,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Hoover Vestavia Soccer,Hoover Vestavia,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Revolution Soccer Club,Revolution,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
International Futbol Club of MS,International Futbol Of Ms,SincSports - Hoover Havoc,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Cullman United SC    (CUSC),Cullman,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Delta Red Bulls,Delta Red Bulls,SincSports - Hoover Havoc,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Augusta Arsenal SC (GA),Augusta Arsenal,SincSports - Hoover Havoc,,GA,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Mandeville Soccer Club,Mandeville,SincSports - Hoover Havoc,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Fultondale soccer club,Fultondale,SincSports - Hoover Havoc,,AL,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Music City Football Club,Music Football,SincSports - Hoover Havoc,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
Emerald Force Soccer Club,Emerald Force,SincSports - Hoover Havoc,,TN,https://soccer.sincsports.com/TTTeamList.aspx?tid=HOOVHAV,sincsports,
