club_name,canonical_name,league_name,city,state,source_url,source_type,website
Laurel Jones County Futbol,Laurel Jones County Futbol,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Jackson Futbol Club (MS),Jackson Futbol,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Mississippi Rush,Mississippi Rush,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Vicksburg Soccer Organization (VSO),Vicksburg Organization,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Gluckstadt FC,Gluckstadt,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Bay Area Youth Soccer,Bay Area,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Rankin Soccer Club,Rankin,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Brilla JUNIORS,Brilla Juniors,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Hattiesburg Futbol Club,Hattiesburg Futbol,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Byram Soccer Association,Byram Association,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
International Futbol Club of MS,International Futbol Of Ms,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Laurel-Jones County Club (LJCSC),Laurel-Jones County,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Northeast LA Soccer Assn (NELSA),Northeast La Assn,SincSports - MR Spring Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Oxford Football Club,Oxford Football,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Alliance Futbol Club (MS),Alliance Futbol,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Indianola Youth Soccer Organization,Indianola Organization,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Pearl Youth Soccer League (PYSL),Pearl League,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Louisiana Fire,Louisiana Fire,SincSports - MR Spring Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Cannon SC & Vicksburg Soccer Org,Cannon & Vicksburg Org,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
DeSoto FC,Desoto,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Invictus Football Club (MS),Invictus Football,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Strikers FFC (LA),Strikers Ffc,SincSports - MR Spring Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Ole Brook FC - MS,Ole Brook - Ms,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Laurel Red Sharks,Laurel Red Sharks,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
NW Rankin Athletic Assn (NWRAA),Nw Rankin Athletic Assn,SincSports - MR Spring Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
Display SettingsSelect the options that you'd like to display on the team list pageWhich teams should be displayed to the public?SchedulesEdit SelectionAdditional Diplay options:Default Division:-AdultU19U18U17U16U15U14U13U12U11U10U09U08U07U06U05U04-BoysGirlsCo EdUSA RankPicturesSeedClubStateTeam LinkPreviewNeededStatusVenuesNationalsRequestTeam Sort:Sort by Team NameSort by SeedSort by USA RankDivision Sort:Sort by AgeSort by GenderVenues through:4/10/20264/11/20264/12/202612/31/2399Advanced Sort:,Display Settingsselect The Options That You'D Like To Display On The Team List Pagewhich Teams Should Be Displayed To The Public?Schedulesedit Selectionadditional Diplay Options:Default Division:-Adultu19U18U17U16U15U14U13U12U11U10U09U08U07U06U05U04-Boysgirlsco Edusa Rankpicturesseedclubstateteam Linkpreviewneededstatusvenuesnationalsrequestteam Sort:Sort By Team Namesort By Seedsort By Usa Rankdivision Sort:Sort By Agesort By Gendervenues Through:4/10/20264/11/20264/12/202612/31/2399Advanced Sort:,SincSports - MR Spring Classic,,,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
SINC Content Manager,Sinc Content Manager,SincSports - MR Spring Classic,,,https://soccer.sincsports.com/TTTeamList.aspx?tid=MISSFSC2,sincsports,
