club_name,canonical_name,league_name,city,state,source_url,source_type,website
Cabosa Shreveport United,Cabosa Shreveport,SincSports - Red River Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
GT United,Gt,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
FC Dallas East Texas,Dallas East Texas,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Northeast LA Soccer Assn (NELSA),Northeast La Assn,SincSports - Red River Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Mighty Bluebirds,Mighty Bluebirds,SincSports - Red River Classic,,AR,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Ruston Reign FC,Ruston Reign,SincSports - Red River Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Dynamite United,Dynamite,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Arkansas Rising,Arkansas Rising,SincSports - Red River Classic,,AR,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
FC Dallas / FC Dallas Youth,Dallas / Dallas,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Texarkana Soccer Club,Texarkana,SincSports - Red River Classic,,AR,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
East Texas Football Club,East Texas Football,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
LA Krewe Rush,La Krewe Rush,SincSports - Red River Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Vicksburg Soccer Organization (VSO),Vicksburg Organization,SincSports - Red River Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Tyler Thorns FC,Tyler Thorns,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Elite Premier FC,Elite Premier,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
WOYSA FUTBOL CLUB,Woysa Futbol,SincSports - Red River Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
DFeeters Kicks Soccer Club (DKSC),Dfeeters Kicks,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
East Texas United,East Texas,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Tyler Dynamites,Tyler Dynamites,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
North Louisiana United (NLU),North Louisiana,SincSports - Red River Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
MS Rush United,Ms Rush,SincSports - Red River Classic,,MS,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Red River FC,Red River,SincSports - Red River Classic,,LA,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Kilgore SA,Kilgore Sa,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
North Texas Soccer Assn (NTSA),North Texas Assn,SincSports - Red River Classic,,TX,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
Display SettingsSelect the options that you'd like to display on the team list pageWhich teams should be displayed to the public?SchedulesEdit SelectionAdditional Diplay options:Default Division:-AdultU19U18U17U16U15U14U13U12U11U10U09U08U07U06U05U04-BoysGirlsCo EdUSA RankPicturesSeedClubStateTeam LinkPreviewNeededStatusVenuesNationalsRequestTeam Sort:Sort by Team NameSort by SeedSort by USA RankDivision Sort:Sort by AgeSort by GenderVenues through:4/10/20264/11/20264/12/202612/31/2399Advanced Sort:,Display Settingsselect The Options That You'D Like To Display On The Team List Pagewhich Teams Should Be Displayed To The Public?Schedulesedit Selectionadditional Diplay Options:Default Division:-Adultu19U18U17U16U15U14U13U12U11U10U09U08U07U06U05U04-Boysgirlsco Edusa Rankpicturesseedclubstateteam Linkpreviewneededstatusvenuesnationalsrequestteam Sort:Sort By Team Namesort By Seedsort By Usa Rankdivision Sort:Sort By Agesort By Gendervenues Through:4/10/20264/11/20264/12/202612/31/2399Advanced Sort:,SincSports - Red River Classic,,,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
SINC Content Manager,Sinc Content Manager,SincSports - Red River Classic,,,https://soccer.sincsports.com/TTTeamList.aspx?tid=REDRV,sincsports,
