club_name,canonical_name,league_name,city,state,source_url
Academia de Futbol Tigres,Academia De Futbol Tigres,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
AC Brea Soccer,Brea,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
ALBION SC Riverside,Albion Riverside,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
ALBION SC San Diego,Albion San Diego,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
ALBION SC Santa Ana,Albion Santa Ana,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
ALBION SC Santa Monica,Albion Santa Monica,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Anaheim Futbol Club,Anaheim Futbol,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Antelope Valley Futbol Club,Antelope Valley Futbol,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Apple Valley SC Storm,Apple Valley Storm,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Aztecs FC,Aztecs,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Bakersfield Alliance,Bakersfield Alliance,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Beach Futbol Club,Beach Futbol,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Bell Gardens FC,Bell Gardens,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Boca Orange County,Boca Orange County,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Borussia Del Mar Soccer Club,Borussia Del Mar,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
California Athletic SC,California Athletic,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
California Football Academy,California Football Academy,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
California Rush Soccer Club,California Rush,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Capo FC,Capo,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Cardiff Sockers,Cardiff Sockers,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
CDA Slammers,Cda Slammers,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
Celtic Soccer Club (S-CA),Celtic,SOCAL Soccer League,,CA,https://system.gotsport.com/org_event/events/43086/clubs
