club_name,canonical_name,league_name,city,state,source_url,source_type,website
Dakota Alliance Soccer Club,Dakota Alliance,South Dakota Youth Soccer Association,Sioux Falls,South Dakota,https://www.southdakotasoccer.com,,
Sioux Falls Soccer Academy,Sioux Falls Academy,South Dakota Youth Soccer Association,Sioux Falls,South Dakota,https://www.southdakotasoccer.com,,
Tempo Soccer Club,Tempo,South Dakota Youth Soccer Association,Tea,South Dakota,https://www.southdakotasoccer.com,,
Black Hills Rapid Soccer Club,Black Hills Rapid,South Dakota Youth Soccer Association,Rapid City,South Dakota,https://www.southdakotasoccer.com,,
Ignite Soccer Club,Ignite,South Dakota Youth Soccer Association,Rapid City,South Dakota,https://www.southdakotasoccer.com,,
Sodak Spurs Soccer Club,Sodak Spurs,South Dakota Youth Soccer Association,Brookings,South Dakota,https://www.southdakotasoccer.com,,
South Dakota United Futbol Club,South Dakota Futbol,South Dakota Youth Soccer Association,Watertown,South Dakota,https://www.southdakotasoccer.com,,
Brandon Area Soccer Association,Brandon Area Association,South Dakota Youth Soccer Association,Brandon,South Dakota,https://www.southdakotasoccer.com,,
Mitchell Soccer Association,Mitchell Association,South Dakota Youth Soccer Association,Mitchell,South Dakota,https://www.southdakotasoccer.com,,
Yankton Youth Soccer Association,Yankton Association,South Dakota Youth Soccer Association,Yankton,South Dakota,https://www.southdakotasoccer.com,,
Sturgis Soccer Association,Sturgis Association,South Dakota Youth Soccer Association,Sturgis,South Dakota,https://www.southdakotasoccer.com,,
Spearfish Soccer Association,Spearfish Association,South Dakota Youth Soccer Association,Spearfish,South Dakota,https://www.southdakotasoccer.com,,
Vermillion Youth Soccer League,Vermillion League,South Dakota Youth Soccer Association,Vermillion,South Dakota,https://www.southdakotasoccer.com,,
Rushmore Premier Futbol Club,Rushmore Premier Futbol,South Dakota Youth Soccer Association,Box Elder,South Dakota,https://www.southdakotasoccer.com,,
Belle Fourche Soccer Association,Belle Fourche Association,South Dakota Youth Soccer Association,Belle Fourche,South Dakota,https://www.southdakotasoccer.com,,
Lead-Deadwood Soccer Association,Lead-Deadwood Association,South Dakota Youth Soccer Association,Deadwood,South Dakota,https://www.southdakotasoccer.com,,
Brookings Futbol Club,Brookings Futbol,South Dakota Youth Soccer Association,Brookings,South Dakota,https://www.southdakotasoccer.com,,
Pierre Youth Soccer Association,Pierre Association,South Dakota Youth Soccer Association,Pierre,South Dakota,https://www.southdakotasoccer.com,,
Aberdeen Soccer Association,Aberdeen Association,South Dakota Youth Soccer Association,Aberdeen,South Dakota,https://www.southdakotasoccer.com,,
Huron Youth Soccer Association,Huron Association,South Dakota Youth Soccer Association,Huron,South Dakota,https://www.southdakotasoccer.com,,
Madison Youth Soccer,Madison,South Dakota Youth Soccer Association,Madison,South Dakota,https://www.southdakotasoccer.com,,
Harrisburg Soccer Association,Harrisburg Association,South Dakota Youth Soccer Association,Harrisburg,South Dakota,https://www.southdakotasoccer.com,,
Dell Rapids Youth Soccer,Dell Rapids,South Dakota Youth Soccer Association,Dell Rapids,South Dakota,https://www.southdakotasoccer.com,,
Sioux Falls Force Soccer Club,Sioux Falls Force,South Dakota Youth Soccer Association,Sioux Falls,South Dakota,https://www.southdakotasoccer.com,,
Rapid City Rush Soccer Club,Rapid Rush,South Dakota Youth Soccer Association,Rapid City,South Dakota,https://www.southdakotasoccer.com,,
Dakota Premier Soccer Club,Dakota Premier,South Dakota Youth Soccer Association,Sioux Falls,South Dakota,https://www.southdakotasoccer.com,,
Hot Springs Youth Soccer,Hot Springs,South Dakota Youth Soccer Association,Hot Springs,South Dakota,https://www.southdakotasoccer.com,,
Custer Youth Soccer Association,Custer Association,South Dakota Youth Soccer Association,Custer,South Dakota,https://www.southdakotasoccer.com,,
