club_name,canonical_name,league_name,city,state,source_url,source_type,website
Alamo Area Youth Soccer Association,Alamo Area Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Bee Youth Soccer Organization,Bee Organization,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Capitol Area Youth Soccer Association,Capitol Area Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Carrizo Springs Youth Soccer Association,Carrizo Springs Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Coastal Bend Youth Soccer Association,Coastal Bend Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Cuero Area Youth Soccer Association,Cuero Area Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Del Rio-Laughlin Youth Soccer Association,Del Rio-Laughlin Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Eagle Pass Youth Soccer Association,Eagle Pass Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
El Paso Youth Soccer Association,El Paso Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
El Valle Youth Soccer Association,El Valle Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Kingsville Youth Soccer Organization,Kingsville Organization,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Laredo Area Youth Soccer Association,Laredo Area Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Paso Del Norte Soccer Association,Paso Del Norte Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Rio Valley Youth Soccer Association,Rio Valley Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
San Antonio Leagues Soccer Association,San Antonio Leagues Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Texas Select Soccer Association,Texas Select Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Tree City Youth Soccer Association,Tree Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Victoria Youth Soccer Organization,Victoria Organization,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
WDDOA,Wddoa,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Angelina Youth Soccer Association,Angelina Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Bay Area Youth Soccer Association,Bay Area Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Brazos Valley Youth Soccer Association,Brazos Valley Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Brazosport Youth Soccer Association,Brazosport Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
East Lake Houston Youth Soccer Association,East Lake Houston Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
Huntsville Youth Soccer Association,Huntsville Association,South Texas Youth Soccer Association,,South Texas,https://www.google.com/maps/d/kml?forcekml=1&mid=1WiBWUBnV577NYdbUb7K_apuMA98mOTE,,
