club_name,canonical_name,league_name,city,state,source_url,source_type,website
"AC Delray, Inc.","Delray, Inc.",Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
ALBION SC Miami,Albion Miami,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Amelia Island YSO,Amelia Island Yso,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Ancient City SC,Ancient,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
ASQGC Group Connection LLC,Asqgc Group Connection Llc,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
"ASQJO Junior Orange Bowl Committee, Inc.","Asqjo Junior Orange Bowl Committee, Inc.",Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
ASQOC Orange Classic Soccer Club,Asqoc Orange Classic,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Athletic Club Miami,Athletic Miami,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Athletum SC,Athletum,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Atletico de Madrid Academia Miami,Atletico De Madrid Academia Miami,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Auburndale Youth SC,Auburndale,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
"Azzurri Storm Soccer, Inc.","Azzurri Storm , Inc.",Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Barcelona Soccer Academy,Barcelona Academy,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Bartow SC,Bartow,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Bazooka Soccer Foundation Inc,Bazooka Foundation Inc,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Big Sun YSL,Big Sun Ysl,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Boynton Beach Knights,Boynton Beach Knights,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Boynton United FC,Boynton,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Braden River SC,Braden River,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Brave Sporting Club,Brave Sporting,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Brazilian Soccer Training,Brazilian Training,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
Brevard Beachside Soccer Club Inc,Brevard Beachside Inc,Sunshine State Soccer League,,FL,https://system.gotsport.com/org_event/events/4697/clubs,,
