club_name,canonical_name,league_name,city,state,source_url
Dripping Springs Soccer DSYSA,Dripping Springs Dsysa,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
FC Westlake,Westlake,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
Georgetown Soccer Association,Georgetown Association,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
Liberty Hill Youth Soccer Association,Liberty Hill Association,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
Lockhart YSA,Lockhart Ysa,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
Lonestar SC,Lonestar,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
LTFC,Ltfc,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
Pflugerville AYSL,Pflugerville Aysl,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
River City Rangers SC,River Rangers,Super Y League,,,https://system.gotsport.com/org_event/events/36295/clubs
ACYS Spirit United,Acys Spirit,Super Y League,,,https://www.sylsoccer.com/clubs-home
All In Futbol Club,All In Futbol,Super Y League,,,https://www.sylsoccer.com/clubs-home
Annandale United Maj.,Annandale Maj.,Super Y League,,,https://www.sylsoccer.com/clubs-home
ASA Charge,Asa Charge,Super Y League,,,https://www.sylsoccer.com/clubs-home
Barca Elite Futbol Club,Barca Elite Futbol,Super Y League,,,https://www.sylsoccer.com/clubs-home
Buffalo Soccer Academy,Buffalo Academy,Super Y League,,,https://www.sylsoccer.com/clubs-home
BW Gottschee,Bw Gottschee,Super Y League,,,https://www.sylsoccer.com/clubs-home
Chill SBC Soccer Club,Chill Sbc,Super Y League,,,https://www.sylsoccer.com/clubs-home
Clarkstown Soccer Club,Clarkstown,Super Y League,,,https://www.sylsoccer.com/clubs-home
Concorde Fire,Concorde Fire,Super Y League,,,https://www.sylsoccer.com/clubs-home
Culpeper SC,Culpeper,Super Y League,,,https://www.sylsoccer.com/clubs-home
Davie United,Davie,Super Y League,,,https://www.sylsoccer.com/clubs-home
DCPDA,Dcpda,Super Y League,,,https://www.sylsoccer.com/clubs-home
ETA United,Eta,Super Y League,,,https://www.sylsoccer.com/clubs-home
Evergreen FC,Evergreen,Super Y League,,,https://www.sylsoccer.com/clubs-home
FA Euro,Fa Euro,Super Y League,,,https://www.sylsoccer.com/clubs-home
FC Sarasota,Sarasota,Super Y League,,,https://www.sylsoccer.com/clubs-home
FCV Annandale,Fcv Annandale,Super Y League,,,https://www.sylsoccer.com/clubs-home
Force Football Club,Force Football,Super Y League,,,https://www.sylsoccer.com/clubs-home
Fusion Soccer Club,Fusion,Super Y League,,,https://www.sylsoccer.com/clubs-home
GOSA,Gosa,Super Y League,,,https://www.sylsoccer.com/clubs-home
Central Illinois Elite,Central Illinois Elite,Super Y League,,,https://www.sylsoccer.com/clubs-home
Keystone Athletic SC,Keystone Athletic,Super Y League,,,https://www.sylsoccer.com/clubs-home
Seacoast United Kings,Seacoast Kings,Super Y League,,,https://www.sylsoccer.com/clubs-home
Liberty FC,Liberty,Super Y League,,,https://www.sylsoccer.com/clubs-home
Met Oval,Met Oval,Super Y League,,,https://www.sylsoccer.com/clubs-home
Miramar United Elite FC,Miramar Elite,Super Y League,,,https://www.sylsoccer.com/clubs-home
New Jersey Elite,New Jersey Elite,Super Y League,,,https://www.sylsoccer.com/clubs-home
New Jersey Stallions,New Jersey Stallions,Super Y League,,,https://www.sylsoccer.com/clubs-home
Norcross Soccer Academy,Norcross Academy,Super Y League,,,https://www.sylsoccer.com/clubs-home
Nordic Soccer,Nordic,Super Y League,,,https://www.sylsoccer.com/clubs-home
Premier Soccer Group,Premier Group,Super Y League,,,https://www.sylsoccer.com/clubs-home
Prince William Courage,Prince William Courage,Super Y League,,,https://www.sylsoccer.com/clubs-home
Rochester Soccer Club,Rochester,Super Y League,,,https://www.sylsoccer.com/clubs-home
SABA NYC,Saba Nyc,Super Y League,,,https://www.sylsoccer.com/clubs-home
Soccer Plus Academy,Plus Academy,Super Y League,,,https://www.sylsoccer.com/clubs-home
Tallahassee Tottenham,Tallahassee Tottenham,Super Y League,,,https://www.sylsoccer.com/clubs-home
Toronto Lynx,Toronto Lynx,Super Y League,,,https://www.sylsoccer.com/clubs-home
TVSA Santos,Tvsa Santos,Super Y League,,,https://www.sylsoccer.com/clubs-home
UFA,Ufa,Super Y League,,,https://www.sylsoccer.com/clubs-home
Upper 90 Soccer Academy,Upper 90 Academy,Super Y League,,,https://www.sylsoccer.com/clubs-home
VA Alliance,Va Alliance,Super Y League,,,https://www.sylsoccer.com/clubs-home
West Pines United FC,West Pines,Super Y League,,,https://www.sylsoccer.com/clubs-home
Club Survey Reports,Survey Reports,Super Y League,,,https://www.sylsoccer.com/clubs-home
View All,View All,Super Y League,,,https://www.sylsoccer.com/clubs-home
