club_name,canonical_name,league_name,city,state,source_url,source_type,website
"AC Delray, Inc.","Delray, Inc.",US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Amelia Island YSO,Amelia Island Yso,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Ancient City SC,Ancient,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
"Azzurri Storm Soccer, Inc.","Azzurri Storm , Inc.",US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Barcelona Soccer Academy,Barcelona Academy,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Big Sun YSL,Big Sun Ysl,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Boynton Beach Knights,Boynton Beach Knights,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Brevard SA,Brevard Sa,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Cape Coral Soccer,Cape Coral,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Chargers SC LWR,Chargers Lwr,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Chargers SC TPA,Chargers Tpa,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Davie United SC,Davie,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
"DME Academy, Sarasota","Dme Academy, Sarasota",US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Doral SC,Doral,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Dunedin Stirling SC,Dunedin Stirling,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
FC America,America,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
FC Prime,Prime,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
FC Sarasota Inc,Sarasota Inc,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
FC Tampa Rangers,Tampa Rangers,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
FD Football Club,Fd Football,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
Florida Celtic,Florida Celtic,US Club NPL - FCL NPL Division,,FL,https://system.gotsport.com/org_event/events/44970/clubs,,
