club_name,canonical_name,league_name,city,state,source_url
Alliance Futbol Club (MO),Alliance Futbol,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Arkansas Comets FC,Arkansas Comets,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Broken Arrow Soccer Club,Broken Arrow,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Dallas Surf,Dallas Surf,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
FC Tulsa Academy,Tulsa Academy,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
FC Wichita,Wichita,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Kernow Storm FC,Kernow Storm,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
NE Oklahoma FC,Ne Oklahoma,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Northwest Optimist SC,Northwest Optimist,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
South Lakes SC,South Lakes,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Southwest MO Rush,Southwest Mo Rush,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Steel United Texas,Steel Texas,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Tulsa Sheffield United SC,Tulsa Sheffield,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Tulsa Soccer Club,Tulsa,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
West Side Alliance SC,West Side Alliance,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/44015/clubs
Union SC,Union,US Club NPL - Frontier Premier League,,,https://system.gotsport.com/org_event/events/50988/clubs
