club_name,canonical_name,league_name,city,state,source_url,source_type,website
Akron Metro Futbol Club,Akron Metro Futbol,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Allegheny Force FC,Allegheny Force,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Ambassadors FC (OH),Ambassadors,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Barcelona United,Barcelona,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Beadling SC,Beadling,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Blast FC Soccer Academy,Blast Academy,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Buffalo Pro Soccer Academy,Buffalo Pro Academy,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Buffalo Stallions,Buffalo Stallions,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Butler United SC,Butler,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
BVB International Academy - Pittsburgh,Bvb International Academy - Pittsburgh,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Canton Akron United Force,Canton Akron Force,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Caps FC,Caps,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Carmel FC,Carmel,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Central Ohio Elite,Central Ohio Elite,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Century United Soccer,Century,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Chili Soccer Association,Chili Association,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Cincinnati Elite FC,Cincinnati Elite,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Cincy Galaxy SC,Cincy Galaxy,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Clarence SC,Clarence,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Cleveland Cobras,Cleveland Cobras,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Cleveland Football Academy,Cleveland Football Academy,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Cleveland Force SC,Cleveland Force,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Cleveland Kickers Soccer Club,Cleveland Kickers,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
***Club NOT listed,*** Not Listed,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Club X Soccer,X,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Columbus Force SC,Columbus Force,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Confluence SC,Confluence,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Croatia Jrs,Croatia Jrs,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Cuyahoga Valley Soccer Academy,Cuyahoga Valley Academy,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Delaware Soccer Club,Delaware,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Elite FC,Elite,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Erie FC,Erie,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Erie Junior Commodores,Erie Junior Commodores,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
FC Alliance,Alliance,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
FC Midwest Academy Kendallville,Midwest Academy Kendallville,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
FC Pittsburgh,Pittsburgh,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Fusion FC NKY,Fusion Nky,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Gem City Soccer Alliance,Gem Alliance,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Glory SC,Glory,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Greater Firelands FC,Greater Firelands,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Great Lakes Alliance,Great Lakes Alliance,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
GTFC Impact,Gtfc Impact,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Hoosier Futbol Club,Hoosier Futbol,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Indy Eleven North,Indy Eleven North,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Internationals SC,Internationals,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Kenmore Soccer Club,Kenmore,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Kings Hammer New Albany,Kings Hammer New Albany,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Legend SC,Legend,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Liberty Football Club,Liberty Football,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Lightning SC (OH),Lightning,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Manta United Soccer Club,Manta,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
Mountaineer United Soccer Club,Mountaineer,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
NASA Xtabi,Nasa Xtabi,US Club NPL - GLA NPL Division,,,https://system.gotsport.com/org_event/events/43157/clubs,,
