club_name,canonical_name,league_name,city,state,source_url
Brentwood SC (LIJSL),Brentwood,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Cherry Hill FC,Cherry Hill,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Cohansey SC,Cohansey,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Community SC,Community,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Complete Athlete Training,Complete Athlete Training,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Den of Lions,Den Of Lions,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
East Coast Surf,East Coast Surf,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
East Hanover Soccer Club,East Hanover,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Empire State Youth Soccer Club,Empire State,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
FC Dutchmen,Dutchmen,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
FC Europa,Europa,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
FC Neshanic,Neshanic,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
FMFooty,Fmfooty,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Fox Soccer Academy Premier,Fox Academy Premier,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Franklin Township SC,Franklin Township,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Giuseppe Rossi Academy,Giuseppe Rossi Academy,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Hulmeville SC,Hulmeville,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Huntingdon Valley AA,Huntingdon Valley Aa,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Huntington Inter FC,Huntington Inter,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Ironbound SC,Ironbound,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Javier Velasco Soccer Academy (JVSA),Javier Velasco Academy,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Jersey Elite Soccer Academy,Jersey Elite Academy,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Kearny Football Club,Kearny Football,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Manhattan SC,Manhattan,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Maroons Soccer Club,Maroons,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Match Fit Surf,Match Fit Surf,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Monmouth United Soccer,Monmouth,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Morris Elite SC,Morris Elite,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
New York Elite Alleycats,New York Elite Alleycats,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Next Level Soccer Academy (NJ),Next Level Academy,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
NJ Crush FC,Nj Crush,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
NJ Santos FC,Nj Santos,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
North Jersey FC,North Jersey,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Parsippany SC,Parsippany,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Pasco Soccer Club,Pasco,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Philadelphia SC,Philadelphia,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Princeton FC,Princeton,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Princeton SA,Princeton Sa,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Quickstrike FC,Quickstrike,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Saints FC,Saints,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Saratoga-Wilton,Saratoga-Wilton,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
SFL Club,Sfl,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Smithtown Kickers SC (LIJSL),Smithtown Kickers,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
SPFSC EP3,Spfsc Ep3,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Sporting Club Premier (NJ),Sporting Premier,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Stateline SC,Stateline,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
Strikers Futbol Academy,Strikers Futbol Academy,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
SUSA FC,Susa,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
United Soccer Group,Group,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
WSA,Wsa,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/45036/clubs
FC Copa Academy,Copa Academy,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/36297/clubs
LVU Rush,Lvu Rush,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/36297/clubs
PDA SC Vistula,Pda Vistula,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/36297/clubs
Western Lehigh United SC,Western Lehigh,US Club NPL - Mid-Atlantic Premier League,,,https://system.gotsport.com/org_event/events/36297/clubs
