club_name,canonical_name,league_name,city,state,source_url
FC Stars of Massachusetts,Stars Of Massachusetts,US Club NPL - New England Impact NPL,Northborough,MA,https://www.usclubsoccer.org/npl/
Seacoast United SC,Seacoast,US Club NPL - New England Impact NPL,Scarborough,ME,https://www.usclubsoccer.org/npl/
Connecticut FC,Connecticut,US Club NPL - New England Impact NPL,Manchester,CT,https://www.usclubsoccer.org/npl/
Rhode Island Surf SC,Rhode Island Surf,US Club NPL - New England Impact NPL,Warwick,RI,https://www.usclubsoccer.org/npl/
Boston Bolts,Boston Bolts,US Club NPL - New England Impact NPL,Medfield,MA,https://www.usclubsoccer.org/npl/
New England FC,New England,US Club NPL - New England Impact NPL,Worcester,MA,https://www.usclubsoccer.org/npl/
Central Mass Mutiny,Central Mass Mutiny,US Club NPL - New England Impact NPL,Millbury,MA,https://www.usclubsoccer.org/npl/
South Shore Select,South Shore Select,US Club NPL - New England Impact NPL,Rockland,MA,https://www.usclubsoccer.org/npl/
GPS Maine Portland Phoenix,Gps Maine Portland Phoenix,US Club NPL - New England Impact NPL,Portland,ME,https://www.usclubsoccer.org/npl/
NH Thunder FC,Nh Thunder,US Club NPL - New England Impact NPL,Manchester,NH,https://www.usclubsoccer.org/npl/
Lonestar SC Connecticut,Lonestar Connecticut,US Club NPL - New England Impact NPL,Newington,CT,https://www.usclubsoccer.org/npl/
FC NOVA,Nova,US Club NPL - New England Impact NPL,Northampton,MA,https://www.usclubsoccer.org/npl/
Whalehead Premier SC,Whalehead Premier,US Club NPL - New England Impact NPL,New Haven,CT,https://www.usclubsoccer.org/npl/
Andover Soccer Association,Andover Association,US Club NPL - New England Impact NPL,Andover,MA,https://www.usclubsoccer.org/npl/
Vermont Green FC Youth,Vermont Green,US Club NPL - New England Impact NPL,Burlington,VT,https://www.usclubsoccer.org/npl/
Needham Soccer Club,Needham,US Club NPL - New England Impact NPL,Needham,MA,https://www.usclubsoccer.org/npl/
Norwood Clippers SC,Norwood Clippers,US Club NPL - New England Impact NPL,Norwood,MA,https://www.usclubsoccer.org/npl/
Bayside FC,Bayside,US Club NPL - New England Impact NPL,Quincy,MA,https://www.usclubsoccer.org/npl/
SoccerPlex FC,Soccerplex,US Club NPL - New England Impact NPL,Methuen,MA,https://www.usclubsoccer.org/npl/
Soccer Rhode Island Premier,Rhode Island Premier,US Club NPL - New England Impact NPL,Cranston,RI,https://www.usclubsoccer.org/npl/
Greater Hartford Soccer Club,Greater Hartford,US Club NPL - New England Impact NPL,Hartford,CT,https://www.usclubsoccer.org/npl/
