club_name,canonical_name,league_name,city,state,source_url
Academia de Futbol Atlas FC Chicago,Academia De Futbol Atlas Chicago,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Ajax FC Naperville,Ajax Naperville,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Aurora Juventud Futbol Club,Aurora Juventud Futbol,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Barca Academy Chicago,Barca Academy Chicago,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Berber City FC,Berber,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
BLFC,Blfc,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Campton United SC,Campton,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Carol Stream Panthers SC,Carol Stream Panthers,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Arsenal Soccer Club,Chicago Arsenal,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Blast,Chicago Blast,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago City Soccer Club,Chicago,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Dynasty FC,Chicago Dynasty,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Edge SC,Chicago Edge,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Empire FC,Chicago Empire,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Fire Youth SC (CFYSC),Chicago Fire,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Futbol Alliance (CFA),Chicago Futbol Alliance,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago House Athletic Club,Chicago House Athletic,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Inferno,Chicago Inferno,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Legion FC,Chicago Legion,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Phoenix,Chicago Phoenix,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Rush Soccer Club,Chicago Rush,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Chicago Soccer Academy (CSA),Chicago Academy,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Club Puebla FC Chicago,Puebla Chicago,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Crystal Lake Soccer Federation,Crystal Lake Federation,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
Deportivo 59 FC,Deportivo 59,US Club NPL - NISL NPL Division,,IL,https://system.gotsport.com/org_event/events/49634/clubs
