club_name,canonical_name,league_name,city,state,source_url,source_type,website
1974 Newark FC,1974 Newark,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
AC United,,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Albany Berkeley Soccer Club,Albany Berkeley,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Atletico United FC,Atletico,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
AYSO United Davis,Ayso Davis,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Azzurri FC,Azzurri,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Benicia Soccer,Benicia,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Butte United Soccer Club,Butte,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Castro Valley Soccer Club,Castro Valley,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Clippers FC,Clippers,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Diablo Valley Futbol Club,Diablo Valley Futbol,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
East Bay Eclipse Soccer Club,East Bay Eclipse,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Eastshore Alliance FC,Eastshore Alliance,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
FC Corning,Corning,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Football Club Alliance,Football Alliance,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Fruitridge Soccer Club,Fruitridge,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Hayward Youth Soccer League,Hayward League,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
IR Academy,Ir Academy,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Lincoln FC,Lincoln,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Mt Diablo Mustang Soccer,Mt Diablo Mustang,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Mustang Soccer,Mustang,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Napa Sport Soccer Club,Napa Sport,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Napa United,Napa,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Natomas United Youth Soccer,Natomas,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Orangevale SC,Orangevale,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Piedmont SC,Piedmont,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Rocklin FC,Rocklin,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Roseville Youth Soccer Club,Roseville,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Sacramento Alliance SC,Sacramento Alliance,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
San Pablo United YSC,San Pablo Ysc,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Santa Cruz City Soccer Club,Santa Cruz,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Solano Surf,Solano Surf,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
South Valley United Soccer Club,South Valley,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Stockton Storm Futbol Club,Stockton Storm Futbol,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Tecos Hayward Soccer Club,Tecos Hayward,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
ThreeSixty Sala,Threesixty Sala,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Vacaville United Soccer Club,Vacaville,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Vallejo United Soccer Club,Vallejo,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Valley Surf | America,Valley Surf | America,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Walnut Creek Surf Soccer Club,Walnut Creek Surf,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Woodland Soccer Club,Woodland,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
Yuba Elite FC,Yuba Elite,US Club NPL - Southeast NPL,,,https://system.gotsport.com/org_event/events/48550/clubs,,
