club_name,canonical_name,league_name,city,state,source_url
Ahlam Soccer Academy,Ahlam Academy,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Athens Futbol Club,Athens Futbol,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Atletico Dallas Youth,Atletico Dallas,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Avanti Soccer Academy,Avanti Academy,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Buen Pastor FC,Buen Pastor,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
BVB International Academy Texas,Bvb International Academy Texas,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Chelsea East SC,Chelsea East,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Club America - Tarrant County,America - Tarrant County,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Coppell FC,Coppell,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Current Elite 2019G,Current Elite 2019G,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Dallas Cosmos Soccer Club,Dallas Cosmos,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Dallas Legends,Dallas Legends,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Dallas Surf,Dallas Surf,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Dallas Texans,Dallas Texans,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Dallas Texans West Texas,Dallas Texans West Texas,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
DFW United SC,Dfw,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Diversity FC,Diversity,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
DKSC,Dksc,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Elite 11 Futbol Club,Elite 11 Futbol,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
FC Cardinals Academy,Cardinals Academy,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
FC Dallas East Paris,Dallas East Paris,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
FC Dallas Youth,Dallas,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Fever United,Fever,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Forms Academy,Forms Academy,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Fort Worth All Stars FC,Fort Worth All Stars,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Fort Worth Vaqueros FC,Fort Worth Vaqueros,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
GLASA LEAGUE TEAM,Glasa League Team,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Hawks United,Hawks,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Impact City FC,Impact,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Independent Teams - NTX,Independent Teams - Ntx,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Inspire FC,Inspire,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
International Legends FC,International Legends,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Juventus Premier Futbol Club,Juventus Premier Futbol,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Liverpool FC Texas,Liverpool Texas,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
North Texas Elite SC,North Texas Elite,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
NTX United FC,Ntx,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Rayos FC,Rayos,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Revolution Premier SC,Revolution Premier,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Soccerplex United,Soccerplex,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Solar SC,Solar,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Star City FC,Star,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Sting Soccer Club,Sting,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Tyler FC,Tyler,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Ulete FC,Ulete,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Villarreal NTX,Villarreal Ntx,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50733/clubs
Academia De Futbol Dallas,Academia De Futbol Dallas,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Dallas Hornets,Dallas Hornets,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Dallas Inter Soccer Club,Dallas Inter,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Evolution,Evolution,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Falls Town FC,Falls,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
FC Dallas ETX,Dallas Etx,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
FC Dallas Texoma,Dallas Texoma,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
FC Hurst United,Hurst,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
FC LEGENDS UTD,Legends,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
ISW Academy,Isw Academy,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Legends FC NTX,Legends Ntx,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Metro West SC,Metro West,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
NTX Celtic FC,Ntx Celtic,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Southside Fury Soccer Academy,Southside Fury Academy,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Steel United Texas,Steel Texas,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
Titans Academy FC,Titans Academy,US Club NPL - Texas Club Soccer League,,TX,https://system.gotsport.com/org_event/events/50734/clubs
